Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap15,3,43.896,-11.625,"[-12.99, -10.26]",-1.917,large,0.0000***,negative (-)
Hap21,5,45.228,-10.293,"[-16.98, -3.61]",-1.682,large,0.0379*,negative (-)
Hap20,4,45.604,-9.916,"[-13.38, -6.45]",-1.635,large,0.0084***,negative (-)
Hap29,3,45.736,-9.785,"[-16.63, -2.94]",-1.607,large,0.1041,negative (-)
Hap25,3,46.303,-9.218,"[-19.76, 1.32]",-1.505,large,0.2273,negative (-)
Hap35,2,62.008,+6.487,"[-2.47, 15.45]",1.065,large,0.3882,positive (+)
Hap32,2,49.069,-6.452,"[-10.81, -2.10]",-1.061,large,0.1980,negative (-)
Hap8,16,49.679,-5.842,"[-8.33, -3.35]",-0.970,large,0.0002***,negative (-)
Hap10,8,50.453,-5.067,"[-8.01, -2.13]",-0.839,large,0.0095***,negative (-)
Hap7,17,50.551,-4.970,"[-7.08, -2.86]",-0.831,large,0.0001***,negative (-)
Hap30,2,59.940,+4.419,"[-4.24, 13.08]",0.726,medium,0.4977,positive (+)
Hap38,2,51.125,-4.396,"[-10.86, 2.07]",-0.722,medium,0.4051,negative (-)
Hap28,2,51.195,-4.326,"[-7.85, -0.80]",-0.711,medium,0.2313,negative (-)
Hap18,5,51.228,-4.293,"[-11.30, 2.71]",-0.701,medium,0.2946,negative (-)
Hap26,3,51.527,-3.993,"[-11.33, 3.34]",-0.655,medium,0.3956,negative (-)
Hap6,18,51.875,-3.646,"[-7.07, -0.23]",-0.591,medium,0.0504,negative (-)
Hap4,23,51.944,-3.576,"[-6.12, -1.04]",-0.589,medium,0.0103*,negative (-)
Hap17,7,51.982,-3.539,"[-10.27, 3.20]",-0.572,medium,0.3417,negative (-)
Hap36,2,52.144,-3.377,"[-5.59, -1.16]",-0.556,medium,0.1562,negative (-)
Hap37,2,52.357,-3.164,"[-10.75, 4.43]",-0.520,medium,0.5615,negative (-)
Hap3,30,58.342,+2.821,"[-0.78, 6.42]",0.427,small,0.1341,positive (+)
Hap31,3,52.987,-2.533,"[-4.84, -0.23]",-0.418,small,0.1354,negative (-)
Hap12,9,53.092,-2.429,"[-7.80, 2.94]",-0.394,small,0.4001,negative (-)
Hap33,2,53.173,-2.348,"[-8.33, 3.64]",-0.386,small,0.5790,negative (-)
Hap19,5,57.828,+2.307,"[-1.12, 5.74]",0.381,small,0.2511,positive (+)
Hap14,6,57.210,+1.689,"[-2.34, 5.72]",0.278,small,0.4463,positive (+)
Hap27,3,53.894,-1.627,"[-6.97, 3.71]",-0.268,small,0.6086,negative (-)
Hap9,13,57.116,+1.595,"[-4.39, 7.58]",0.249,small,0.6107,positive (+)
Hap2,86,57.099,+1.578,"[-0.08, 3.23]",0.250,small,0.0639,positive (+)
Hap13,6,54.174,-1.347,"[-8.88, 6.18]",-0.218,small,0.7399,negative (-)
Hap11,9,56.741,+1.220,"[-5.29, 7.73]",0.195,negligible,0.7226,positive (+)
Hap24,4,56.683,+1.163,"[-6.42, 8.75]",0.190,negligible,0.7831,positive (+)
Hap5,23,54.369,-1.152,"[-5.07, 2.76]",-0.179,negligible,0.5693,negative (-)
Hap16,6,54.430,-1.091,"[-6.45, 4.27]",-0.179,negligible,0.7057,negative (-)
Hap23,4,56.215,+0.694,"[-5.23, 6.62]",0.114,negligible,0.8327,positive (+)
Hap34,1,54.839,-0.681,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap22,4,55.467,-0.054,"[-3.13, 3.02]",-0.009,negligible,0.9746,negative (-)
Hap1,231,55.521,REF,-,-,-,-,-
