Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap35,2,43.419,-14.264,"[-16.04, -12.49]",-1.844,large,0.0000***,negative (-)
Hap56,1,44.850,-12.833,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap47,2,44.942,-12.741,"[-16.15, -9.33]",-1.646,large,0.0400*,negative (-)
Hap55,2,45.116,-12.567,"[-15.90, -9.24]",-1.624,large,0.0377*,negative (-)
Hap39,1,47.174,-10.509,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap44,2,47.674,-10.009,"[-19.29, -0.73]",-1.290,large,0.2721,negative (-)
Hap38,1,47.886,-9.797,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap41,2,47.920,-9.763,"[-20.21, 0.68]",-1.257,large,0.3112,negative (-)
Hap20,4,48.171,-9.511,"[-18.82, -0.20]",-1.217,large,0.1349,negative (-)
Hap25,4,48.248,-9.434,"[-14.07, -4.80]",-1.225,large,0.0194*,negative (-)
Hap54,2,48.304,-9.379,"[-11.05, -7.71]",-1.212,large,0.0000***,negative (-)
Hap16,9,48.400,-9.283,"[-12.89, -5.67]",-1.218,large,0.0004***,negative (-)
Hap27,3,49.383,-8.300,"[-17.56, 0.96]",-1.068,large,0.2152,negative (-)
Hap15,11,49.896,-7.787,"[-12.43, -3.14]",-1.005,large,0.0064***,negative (-)
Hap33,1,49.922,-7.761,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap45,2,50.287,-7.396,"[-11.11, -3.68]",-0.956,large,0.1062,negative (-)
Hap18,6,50.578,-7.105,"[-12.73, -1.48]",-0.919,large,0.0503,negative (-)
Hap23,5,50.787,-6.896,"[-9.76, -4.03]",-0.901,large,0.0022***,negative (-)
Hap53,2,51.148,-6.535,"[-15.28, 2.21]",-0.842,large,0.3723,negative (-)
Hap5,20,51.320,-6.363,"[-9.09, -3.64]",-0.852,large,0.0001***,negative (-)
Hap7,16,51.934,-5.749,"[-9.91, -1.59]",-0.738,medium,0.0139*,negative (-)
Hap24,4,52.061,-5.622,"[-11.28, 0.04]",-0.728,medium,0.1355,negative (-)
Hap14,10,52.336,-5.347,"[-8.26, -2.44]",-0.707,medium,0.0026***,negative (-)
Hap11,14,53.035,-4.648,"[-9.53, 0.24]",-0.589,medium,0.0812,negative (-)
Hap3,40,53.305,-4.378,"[-6.61, -2.15]",-0.602,medium,0.0002***,negative (-)
Hap17,8,53.318,-4.365,"[-11.21, 2.48]",-0.553,medium,0.2484,negative (-)
Hap28,3,53.471,-4.212,"[-7.96, -0.46]",-0.546,medium,0.1244,negative (-)
Hap26,4,53.760,-3.923,"[-12.24, 4.39]",-0.504,medium,0.4198,negative (-)
Hap2,89,53.801,-3.882,"[-5.54, -2.23]",-0.602,medium,0.0000***,negative (-)
Hap52,2,53.838,-3.845,"[-9.29, 1.60]",-0.496,small,0.3759,negative (-)
Hap34,1,53.889,-3.794,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap13,12,61.311,+3.628,"[-0.16, 7.41]",0.475,small,0.0801,positive (+)
Hap36,2,54.091,-3.592,"[-5.02, -2.16]",-0.464,small,0.0000***,negative (-)
Hap37,2,54.324,-3.359,"[-7.28, 0.56]",-0.434,small,0.2941,negative (-)
Hap21,5,54.626,-3.057,"[-5.68, -0.44]",-0.399,small,0.0518,negative (-)
Hap51,2,60.719,+3.036,"[-4.86, 10.93]",0.392,small,0.5822,positive (+)
Hap49,2,54.808,-2.875,"[-8.25, 2.50]",-0.371,small,0.4659,negative (-)
Hap9,15,60.164,+2.481,"[-2.19, 7.15]",0.315,small,0.3119,positive (+)
Hap46,2,55.256,-2.427,"[-10.60, 5.75]",-0.313,small,0.6598,negative (-)
Hap4,24,55.335,-2.348,"[-5.81, 1.12]",-0.301,small,0.1936,negative (-)
Hap29,3,55.345,-2.338,"[-10.02, 5.34]",-0.302,small,0.6077,negative (-)
Hap50,2,55.348,-2.335,"[-24.62, 19.95]",-0.296,small,0.8708,negative (-)
Hap30,3,55.594,-2.089,"[-7.70, 3.52]",-0.270,small,0.5332,negative (-)
Hap10,13,55.603,-2.080,"[-6.01, 1.85]",-0.271,small,0.3157,negative (-)
Hap8,16,59.626,+1.943,"[-1.64, 5.53]",0.254,small,0.3003,positive (+)
Hap6,21,59.186,+1.503,"[-1.68, 4.69]",0.197,negligible,0.3621,positive (+)
Hap40,1,56.209,-1.474,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap48,2,59.144,+1.461,"[-11.25, 14.17]",0.188,negligible,0.8582,positive (+)
Hap19,3,58.951,+1.268,"[-12.73, 15.26]",0.161,negligible,0.8752,positive (+)
Hap32,3,58.891,+1.208,"[-3.65, 6.06]",0.156,negligible,0.6669,positive (+)
Hap43,2,58.728,+1.046,"[-2.15, 4.24]",0.135,negligible,0.6036,positive (+)
Hap22,5,56.654,-1.029,"[-7.61, 5.55]",-0.133,negligible,0.7732,negative (-)
Hap31,3,56.811,-0.872,"[-8.65, 6.91]",-0.112,negligible,0.8454,negative (-)
Hap12,12,57.860,+0.178,"[-2.64, 2.99]",0.024,negligible,0.9029,positive (+)
Hap1,116,57.683,REF,-,-,-,-,-
