Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap35,3,39.583,-18.150,"[-22.27, -14.03]",-2.325,large,0.0061***,negative (-)
Hap40,2,44.904,-12.829,"[-17.31, -8.35]",-1.638,large,0.0809,negative (-)
Hap47,2,46.202,-11.532,"[-14.05, -9.01]",-1.473,large,0.0116*,negative (-)
Hap19,4,47.428,-10.306,"[-15.22, -5.39]",-1.321,large,0.0189*,negative (-)
Hap23,4,47.598,-10.135,"[-13.20, -7.07]",-1.303,large,0.0016***,negative (-)
Hap54,2,47.792,-9.942,"[-13.45, -6.43]",-1.270,large,0.0644,negative (-)
Hap18,3,47.828,-9.906,"[-13.55, -6.26]",-1.269,large,0.0165*,negative (-)
Hap24,5,48.439,-9.295,"[-14.17, -4.42]",-1.193,large,0.0150*,negative (-)
Hap36,3,48.517,-9.217,"[-17.37, -1.07]",-1.175,large,0.1498,negative (-)
Hap22,6,48.518,-9.215,"[-11.48, -6.95]",-1.194,large,0.0000***,negative (-)
Hap48,2,48.698,-9.035,"[-17.93, -0.14]",-1.152,large,0.2871,negative (-)
Hap53,2,48.724,-9.010,"[-19.78, 1.76]",-1.147,large,0.3426,negative (-)
Hap34,3,48.851,-8.882,"[-14.94, -2.82]",-1.136,large,0.0910,negative (-)
Hap14,7,49.383,-8.351,"[-14.34, -2.36]",-1.063,large,0.0305*,negative (-)
Hap32,3,49.399,-8.335,"[-13.67, -3.00]",-1.066,large,0.0776,negative (-)
Hap38,2,49.686,-8.048,"[-12.27, -3.83]",-1.028,large,0.1261,negative (-)
Hap46,2,65.491,+7.757,"[-3.62, 19.13]",0.987,large,0.4041,positive (+)
Hap28,4,50.273,-7.460,"[-13.95, -0.97]",-0.953,large,0.1017,negative (-)
Hap43,2,50.496,-7.237,"[-8.74, -5.74]",-0.925,large,0.0000***,negative (-)
Hap30,3,50.813,-6.920,"[-11.54, -2.30]",-0.886,large,0.0793,negative (-)
Hap52,2,64.321,+6.587,"[5.17, 8.01]",0.842,large,0.0000***,positive (+)
Hap26,4,51.202,-6.532,"[-16.98, 3.92]",-0.824,large,0.3051,negative (-)
Hap44,2,51.708,-6.026,"[-14.47, 2.42]",-0.768,medium,0.3862,negative (-)
Hap8,14,52.097,-5.636,"[-7.83, -3.44]",-0.747,medium,0.0000***,negative (-)
Hap31,3,52.168,-5.565,"[-19.60, 8.47]",-0.700,medium,0.5169,negative (-)
Hap10,8,52.181,-5.552,"[-11.99, 0.88]",-0.701,medium,0.1307,negative (-)
Hap21,4,52.453,-5.280,"[-12.20, 1.64]",-0.674,medium,0.2249,negative (-)
Hap4,35,52.826,-4.907,"[-7.68, -2.14]",-0.635,medium,0.0010***,negative (-)
Hap13,8,52.961,-4.773,"[-7.79, -1.76]",-0.620,medium,0.0100***,negative (-)
Hap39,1,62.471,+4.737,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap2,75,53.226,-4.507,"[-6.19, -2.82]",-0.668,medium,0.0000***,negative (-)
Hap49,2,53.965,-3.769,"[-10.20, 2.66]",-0.481,small,0.4425,negative (-)
Hap9,14,54.024,-3.710,"[-6.49, -0.93]",-0.488,small,0.0155*,negative (-)
Hap56,1,60.859,+3.126,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap41,2,54.644,-3.089,"[-11.07, 4.89]",-0.394,small,0.5805,negative (-)
Hap17,7,54.687,-3.047,"[-6.70, 0.60]",-0.394,small,0.1398,negative (-)
Hap12,10,54.919,-2.814,"[-6.25, 0.62]",-0.365,small,0.1325,negative (-)
Hap16,8,54.978,-2.755,"[-7.24, 1.73]",-0.354,small,0.2613,negative (-)
Hap25,5,55.187,-2.547,"[-11.24, 6.15]",-0.321,small,0.5952,negative (-)
Hap3,56,55.391,-2.342,"[-4.39, -0.29]",-0.321,small,0.0268*,negative (-)
Hap7,15,55.406,-2.327,"[-6.55, 1.89]",-0.296,small,0.2943,negative (-)
Hap42,2,55.504,-2.230,"[-5.95, 1.49]",-0.285,small,0.4071,negative (-)
Hap27,4,55.531,-2.202,"[-10.90, 6.50]",-0.279,small,0.6524,negative (-)
Hap55,2,55.733,-2.001,"[-8.62, 4.62]",-0.255,small,0.6525,negative (-)
Hap29,4,59.571,+1.837,"[-4.72, 8.39]",0.235,small,0.6179,positive (+)
Hap50,2,55.927,-1.806,"[-25.22, 21.61]",-0.227,small,0.9043,negative (-)
Hap6,17,59.168,+1.435,"[-1.38, 4.25]",0.189,negligible,0.3260,positive (+)
Hap45,2,56.528,-1.206,"[-13.74, 11.33]",-0.153,negligible,0.8808,negative (-)
Hap51,2,56.588,-1.146,"[-17.49, 15.20]",-0.145,negligible,0.9129,negative (-)
Hap11,10,56.731,-1.002,"[-7.21, 5.21]",-0.125,negligible,0.7583,negative (-)
Hap5,20,56.755,-0.979,"[-5.91, 3.95]",-0.118,negligible,0.7007,negative (-)
Hap20,7,56.810,-0.924,"[-6.74, 4.90]",-0.118,negligible,0.7651,negative (-)
Hap33,3,56.829,-0.904,"[-4.70, 2.89]",-0.116,negligible,0.6761,negative (-)
Hap15,9,58.082,+0.348,"[-3.12, 3.82]",0.045,negligible,0.8475,positive (+)
Hap37,3,57.421,-0.312,"[-15.71, 15.09]",-0.039,negligible,0.9718,negative (-)
Hap1,125,57.733,REF,-,-,-,-,-
