Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap32,3,44.254,-12.919,"[-19.15, -6.68]",-1.702,large,0.0505,negative (-)
Hap37,2,45.022,-12.150,"[-15.69, -8.61]",-1.601,large,0.0670,negative (-)
Hap7,7,47.558,-9.615,"[-12.88, -6.35]",-1.277,large,0.0005***,negative (-)
Hap42,2,48.301,-8.871,"[-24.41, 6.66]",-1.163,large,0.4629,negative (-)
Hap20,7,65.985,+8.813,"[0.33, 17.29]",1.138,large,0.0864,positive (+)
Hap30,2,48.421,-8.751,"[-11.41, -6.09]",-1.153,large,0.0520,negative (-)
Hap36,2,48.912,-8.260,"[-19.19, 2.67]",-1.086,large,0.3749,negative (-)
Hap25,4,49.133,-8.039,"[-13.65, -2.43]",-1.060,large,0.0620,negative (-)
Hap12,10,49.291,-7.882,"[-11.67, -4.09]",-1.045,large,0.0020***,negative (-)
Hap22,5,49.371,-7.802,"[-20.42, 4.82]",-1.001,large,0.2915,negative (-)
Hap14,10,49.935,-7.238,"[-10.73, -3.75]",-0.962,large,0.0019***,negative (-)
Hap19,5,50.470,-6.703,"[-15.20, 1.80]",-0.876,large,0.1949,negative (-)
Hap9,7,50.627,-6.546,"[-9.84, -3.25]",-0.869,large,0.0053***,negative (-)
Hap18,6,51.216,-5.957,"[-10.20, -1.72]",-0.788,medium,0.0351*,negative (-)
Hap26,2,51.219,-5.954,"[-9.94, -1.96]",-0.784,medium,0.1822,negative (-)
Hap21,6,51.265,-5.908,"[-9.56, -2.26]",-0.783,medium,0.0196*,negative (-)
Hap34,1,51.349,-5.823,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap11,10,51.436,-5.736,"[-8.84, -2.63]",-0.764,medium,0.0038***,negative (-)
Hap23,5,51.546,-5.626,"[-10.69, -0.56]",-0.743,medium,0.0893,negative (-)
Hap29,4,51.565,-5.608,"[-7.38, -3.83]",-0.742,medium,0.0004***,negative (-)
Hap6,10,51.582,-5.590,"[-7.91, -3.27]",-0.748,medium,0.0003***,negative (-)
Hap24,3,51.652,-5.520,"[-6.98, -4.06]",-0.729,medium,0.0001***,negative (-)
Hap13,8,51.712,-5.460,"[-12.36, 1.44]",-0.710,medium,0.1629,negative (-)
Hap44,2,51.728,-5.444,"[-8.13, -2.76]",-0.717,medium,0.1014,negative (-)
Hap43,2,52.295,-4.878,"[-17.29, 7.53]",-0.641,medium,0.5805,negative (-)
Hap10,11,52.311,-4.861,"[-7.67, -2.05]",-0.649,medium,0.0046***,negative (-)
Hap33,2,52.370,-4.803,"[-23.58, 13.97]",-0.628,medium,0.7037,negative (-)
Hap35,2,52.396,-4.776,"[-11.84, 2.28]",-0.629,medium,0.4042,negative (-)
Hap31,3,52.397,-4.775,"[-18.23, 8.68]",-0.623,medium,0.5579,negative (-)
Hap38,2,52.780,-4.393,"[-7.87, -0.91]",-0.579,medium,0.2084,negative (-)
Hap2,114,53.387,-3.786,"[-5.08, -2.49]",-0.577,medium,0.0000***,negative (-)
Hap27,4,53.486,-3.686,"[-11.36, 3.99]",-0.484,small,0.4137,negative (-)
Hap45,2,53.558,-3.614,"[-5.20, -2.03]",-0.476,small,0.0190*,negative (-)
Hap28,4,53.774,-3.399,"[-12.27, 5.47]",-0.445,small,0.5059,negative (-)
Hap40,1,53.889,-3.283,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap8,12,54.396,-2.777,"[-5.33, -0.23]",-0.372,small,0.0488*,negative (-)
Hap5,18,54.490,-2.683,"[-5.47, 0.10]",-0.359,small,0.0719,negative (-)
Hap4,19,54.773,-2.400,"[-6.59, 1.79]",-0.310,small,0.2743,negative (-)
Hap15,9,55.034,-2.138,"[-6.09, 1.81]",-0.283,small,0.3153,negative (-)
Hap41,2,59.306,+2.134,"[-9.16, 13.43]",0.280,small,0.7735,positive (+)
Hap16,9,58.830,+1.657,"[-3.46, 6.78]",0.218,small,0.5421,positive (+)
Hap17,8,55.689,-1.484,"[-5.32, 2.36]",-0.197,negligible,0.4700,negative (-)
Hap39,2,55.900,-1.272,"[-20.14, 17.60]",-0.166,negligible,0.9162,negative (-)
Hap3,30,57.911,+0.739,"[-2.03, 3.50]",0.098,negligible,0.6036,positive (+)
Hap1,202,57.173,REF,-,-,-,-,-
