Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap24,5,44.239,-9.804,"[-15.36, -4.25]",-2.018,large,0.0242*,negative (-)
Hap19,7,48.460,-5.582,"[-8.84, -2.32]",-1.166,large,0.0126*,negative (-)
Hap14,6,49.371,-4.672,"[-8.35, -1.00]",-0.974,large,0.0505,negative (-)
Hap3,40,58.597,+4.554,"[2.20, 6.91]",0.840,large,0.0004***,positive (+)
Hap23,6,49.678,-4.364,"[-7.75, -0.97]",-0.912,large,0.0477*,negative (-)
Hap17,7,50.162,-3.881,"[-7.54, -0.23]",-0.807,large,0.0781,negative (-)
Hap2,119,57.848,+3.805,"[2.21, 5.40]",0.603,medium,0.0000***,positive (+)
Hap6,25,57.505,+3.462,"[-0.83, 7.75]",0.568,medium,0.1260,positive (+)
Hap7,19,50.871,-3.171,"[-6.36, 0.02]",-0.622,medium,0.0650,negative (-)
Hap9,14,51.174,-2.868,"[-5.48, -0.26]",-0.597,medium,0.0468*,negative (-)
Hap22,6,51.403,-2.640,"[-6.04, 0.77]",-0.551,medium,0.1828,negative (-)
Hap12,10,56.422,+2.379,"[-2.29, 7.05]",0.474,small,0.3423,positive (+)
Hap8,13,51.731,-2.311,"[-4.82, 0.20]",-0.484,small,0.0913,negative (-)
Hap27,4,51.904,-2.139,"[-10.72, 6.44]",-0.434,small,0.6581,negative (-)
Hap18,5,51.964,-2.079,"[-4.82, 0.67]",-0.436,small,0.2002,negative (-)
Hap25,5,52.415,-1.628,"[-5.63, 2.37]",-0.339,small,0.4661,negative (-)
Hap21,6,52.472,-1.570,"[-8.26, 5.12]",-0.315,small,0.6643,negative (-)
Hap16,8,52.512,-1.530,"[-6.97, 3.91]",-0.306,small,0.5979,negative (-)
Hap13,10,55.501,+1.458,"[-1.85, 4.77]",0.302,small,0.4081,positive (+)
Hap11,11,55.373,+1.331,"[-2.37, 5.03]",0.271,small,0.4953,positive (+)
Hap5,28,54.800,+0.758,"[-1.73, 3.25]",0.149,negligible,0.5550,positive (+)
Hap26,5,54.609,+0.566,"[-4.63, 5.76]",0.117,negligible,0.8408,positive (+)
Hap20,5,53.641,-0.402,"[-7.84, 7.03]",-0.081,negligible,0.9206,negative (-)
Hap15,9,53.697,-0.346,"[-4.76, 4.07]",-0.070,negligible,0.8815,negative (-)
Hap10,11,53.806,-0.236,"[-3.85, 3.37]",-0.048,negligible,0.9002,negative (-)
Hap4,33,54.089,+0.047,"[-2.83, 2.93]",0.008,negligible,0.9747,positive (+)
Hap1,135,54.042,REF,-,-,-,-,-
