Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap23,4,44.229,-11.604,"[-19.13, -4.08]",-1.695,large,0.0549,negative (-)
Hap34,2,45.172,-10.661,"[-15.70, -5.63]",-1.562,large,0.1398,negative (-)
Hap43,2,65.984,+10.152,"[6.45, 13.85]",1.488,large,0.0989,positive (+)
Hap38,2,45.932,-9.900,"[-15.01, -4.79]",-1.451,large,0.1534,negative (-)
Hap47,2,46.657,-9.175,"[-14.72, -3.63]",-1.344,large,0.1812,negative (-)
Hap26,4,46.777,-9.056,"[-10.58, -7.53]",-1.333,large,0.0000***,negative (-)
Hap35,2,46.843,-8.989,"[-16.82, -1.16]",-1.316,large,0.2615,negative (-)
Hap24,5,64.775,+8.942,"[4.33, 13.55]",1.313,large,0.0168*,positive (+)
Hap22,4,47.701,-8.131,"[-11.70, -4.56]",-1.195,large,0.0164*,negative (-)
Hap33,3,48.170,-7.663,"[-14.19, -1.14]",-1.123,large,0.1438,negative (-)
Hap18,5,48.245,-7.588,"[-9.28, -5.89]",-1.119,large,0.0000***,negative (-)
Hap42,2,48.599,-7.234,"[-13.49, -0.98]",-1.060,large,0.2571,negative (-)
Hap9,9,49.816,-6.017,"[-9.11, -2.92]",-0.888,large,0.0039***,negative (-)
Hap6,16,50.257,-5.575,"[-8.39, -2.76]",-0.824,large,0.0011***,negative (-)
Hap12,8,50.335,-5.498,"[-8.97, -2.03]",-0.810,large,0.0147*,negative (-)
Hap15,6,50.653,-5.179,"[-11.30, 0.94]",-0.756,medium,0.1558,negative (-)
Hap14,9,60.808,+4.975,"[0.78, 9.17]",0.730,medium,0.0462*,positive (+)
Hap25,5,50.942,-4.890,"[-7.68, -2.10]",-0.720,medium,0.0193*,negative (-)
Hap27,4,51.107,-4.726,"[-8.35, -1.10]",-0.694,medium,0.0747,negative (-)
Hap10,12,51.379,-4.453,"[-8.05, -0.86]",-0.654,medium,0.0314*,negative (-)
Hap40,2,51.425,-4.407,"[-6.08, -2.73]",-0.646,medium,0.0439*,negative (-)
Hap5,20,60.005,+4.172,"[1.37, 6.97]",0.615,medium,0.0077***,positive (+)
Hap17,7,59.656,+3.823,"[-1.18, 8.83]",0.560,medium,0.1824,positive (+)
Hap21,4,52.205,-3.628,"[-7.29, 0.04]",-0.533,medium,0.1381,negative (-)
Hap46,2,52.295,-3.538,"[-15.93, 8.85]",-0.517,medium,0.6745,negative (-)
Hap7,13,52.319,-3.514,"[-7.07, 0.05]",-0.516,medium,0.0744,negative (-)
Hap37,2,52.370,-3.463,"[-22.23, 15.30]",-0.504,medium,0.7788,negative (-)
Hap19,5,52.640,-3.193,"[-10.84, 4.45]",-0.465,small,0.4579,negative (-)
Hap41,2,52.780,-3.053,"[-6.48, 0.37]",-0.447,small,0.3083,negative (-)
Hap13,9,52.849,-2.983,"[-7.93, 1.97]",-0.435,small,0.2694,negative (-)
Hap29,4,53.264,-2.568,"[-17.23, 12.09]",-0.368,small,0.7538,negative (-)
Hap2,41,53.300,-2.532,"[-4.27, -0.80]",-0.383,small,0.0056***,negative (-)
Hap32,2,53.936,-1.896,"[-2.83, -0.97]",-0.278,small,0.0004***,negative (-)
Hap45,2,54.107,-1.726,"[-13.68, 10.23]",-0.252,small,0.8241,negative (-)
Hap4,20,54.108,-1.724,"[-5.38, 1.93]",-0.249,small,0.3652,negative (-)
Hap36,2,54.149,-1.684,"[-18.02, 14.65]",-0.245,small,0.8729,negative (-)
Hap3,30,56.938,+1.105,"[-1.85, 4.06]",0.159,negligible,0.4692,positive (+)
Hap39,2,56.789,+0.957,"[0.10, 1.81]",0.140,negligible,0.0292*,positive (+)
Hap44,2,54.975,-0.857,"[-2.65, 0.93]",-0.126,negligible,0.4637,negative (-)
Hap30,4,55.103,-0.730,"[-9.10, 7.64]",-0.106,negligible,0.8749,negative (-)
Hap28,4,56.549,+0.716,"[-7.63, 9.06]",0.104,negligible,0.8769,positive (+)
Hap16,8,55.416,-0.417,"[-5.98, 5.15]",-0.061,negligible,0.8874,negative (-)
Hap31,3,55.458,-0.374,"[-8.99, 8.24]",-0.055,negligible,0.9398,negative (-)
Hap11,13,56.151,+0.319,"[-2.83, 3.47]",0.047,negligible,0.8456,positive (+)
Hap20,4,55.642,-0.191,"[-4.54, 4.16]",-0.028,negligible,0.9365,negative (-)
Hap8,16,55.759,-0.074,"[-2.67, 2.52]",-0.011,negligible,0.9562,negative (-)
Hap1,251,55.833,REF,-,-,-,-,-
