Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap16,5,66.695,+11.924,"[10.68, 13.17]",1.877,large,0.0000***,positive (+)
Hap14,5,47.060,-7.712,"[-11.66, -3.77]",-1.209,large,0.0157*,negative (-)
Hap12,7,49.794,-4.977,"[-9.93, -0.02]",-0.776,medium,0.0938,negative (-)
Hap7,7,49.940,-4.832,"[-8.12, -1.54]",-0.759,medium,0.0244*,negative (-)
Hap15,5,50.596,-4.175,"[-6.18, -2.17]",-0.657,medium,0.0070***,negative (-)
Hap5,29,50.723,-4.048,"[-7.33, -0.77]",-0.604,medium,0.0215*,negative (-)
Hap8,9,51.007,-3.764,"[-6.80, -0.73]",-0.593,medium,0.0371*,negative (-)
Hap9,7,51.160,-3.611,"[-6.89, -0.33]",-0.568,medium,0.0686,negative (-)
Hap2,79,57.942,+3.171,"[1.46, 4.88]",0.487,small,0.0004***,positive (+)
Hap11,7,51.913,-2.858,"[-6.51, 0.79]",-0.449,small,0.1707,negative (-)
Hap6,27,57.596,+2.825,"[-0.28, 5.93]",0.429,small,0.0850,positive (+)
Hap3,62,56.670,+1.898,"[-0.25, 4.05]",0.280,small,0.0875,positive (+)
Hap4,43,52.917,-1.854,"[-3.96, 0.26]",-0.289,small,0.0902,negative (-)
Hap13,6,53.173,-1.598,"[-7.81, 4.62]",-0.248,small,0.6348,negative (-)
Hap10,5,53.880,-0.891,"[-7.04, 5.26]",-0.139,negligible,0.7901,negative (-)
Hap1,229,54.771,REF,-,-,-,-,-
