Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap13,3,43.896,-13.139,"[-14.69, -11.59]",-1.739,large,0.0000***,negative (-)
Hap15,4,48.853,-8.182,"[-18.33, 1.96]",-1.071,large,0.2101,negative (-)
Hap10,11,49.273,-7.762,"[-11.23, -4.30]",-1.034,large,0.0008***,negative (-)
Hap17,5,49.351,-7.685,"[-20.31, 4.94]",-0.987,large,0.2978,negative (-)
Hap14,7,49.924,-7.112,"[-10.50, -3.72]",-0.946,large,0.0040***,negative (-)
Hap18,6,51.265,-5.771,"[-9.43, -2.11]",-0.767,medium,0.0215*,negative (-)
Hap7,10,51.582,-5.453,"[-7.78, -3.12]",-0.731,medium,0.0004***,negative (-)
Hap9,8,51.854,-5.181,"[-8.33, -2.04]",-0.691,medium,0.0104*,negative (-)
Hap19,4,51.972,-5.063,"[-10.32, 0.20]",-0.670,medium,0.1482,negative (-)
Hap3,31,61.872,+4.837,"[1.61, 8.07]",0.625,medium,0.0057***,positive (+)
Hap16,6,52.499,-4.536,"[-9.12, 0.05]",-0.601,medium,0.1039,negative (-)
Hap2,100,53.156,-3.879,"[-5.22, -2.54]",-0.585,medium,0.0000***,negative (-)
Hap12,8,53.808,-3.228,"[-10.16, 3.71]",-0.420,small,0.3905,negative (-)
Hap4,24,54.990,-2.046,"[-4.19, 0.10]",-0.279,small,0.0685,negative (-)
Hap20,3,58.562,+1.526,"[-5.53, 8.59]",0.201,small,0.7113,positive (+)
Hap6,17,55.623,-1.412,"[-3.98, 1.15]",-0.190,negligible,0.2918,negative (-)
Hap11,9,55.686,-1.349,"[-3.88, 1.18]",-0.181,negligible,0.3170,negative (-)
Hap8,9,57.547,+0.512,"[-5.02, 6.05]",0.067,negligible,0.8603,positive (+)
Hap5,19,57.469,+0.433,"[-2.56, 3.43]",0.058,negligible,0.7793,positive (+)
Hap1,195,57.036,REF,-,-,-,-,-
