Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap43,2,44.293,-12.707,"[-19.28, -6.13]",-1.674,large,0.1556,negative (-)
Hap40,2,44.368,-12.632,"[-14.95, -10.31]",-1.666,large,0.0217*,negative (-)
Hap12,5,69.002,+12.002,"[4.35, 19.66]",1.575,large,0.0356*,positive (+)
Hap15,3,45.588,-11.412,"[-23.44, 0.61]",-1.496,large,0.2022,negative (-)
Hap35,2,45.815,-11.185,"[-17.04, -5.33]",-1.474,large,0.1550,negative (-)
Hap33,2,46.202,-10.799,"[-13.13, -8.47]",-1.424,large,0.0279*,negative (-)
Hap8,5,46.724,-10.276,"[-15.16, -5.39]",-1.358,large,0.0123*,negative (-)
Hap17,4,47.925,-9.075,"[-15.19, -2.96]",-1.197,large,0.0583,negative (-)
Hap22,2,48.421,-8.579,"[-11.21, -5.94]",-1.131,large,0.0567,negative (-)
Hap31,2,48.892,-8.108,"[-15.11, -1.10]",-1.068,large,0.2564,negative (-)
Hap11,5,48.975,-8.025,"[-11.31, -4.74]",-1.063,large,0.0054***,negative (-)
Hap21,3,49.069,-7.931,"[-12.16, -3.71]",-1.047,large,0.0560,negative (-)
Hap5,11,49.253,-7.747,"[-10.07, -5.42]",-1.037,large,0.0000***,negative (-)
Hap37,2,49.499,-7.501,"[-23.65, 8.65]",-0.984,large,0.5289,negative (-)
Hap41,2,50.002,-6.998,"[-15.43, 1.43]",-0.922,large,0.3460,negative (-)
Hap20,4,50.925,-6.075,"[-11.78, -0.37]",-0.802,large,0.1226,negative (-)
Hap25,3,50.978,-6.022,"[-7.48, -4.56]",-0.796,medium,0.0001***,negative (-)
Hap9,6,51.235,-5.765,"[-10.78, -0.75]",-0.761,medium,0.0698,negative (-)
Hap7,8,51.459,-5.541,"[-8.26, -2.82]",-0.738,medium,0.0029***,negative (-)
Hap26,3,51.594,-5.406,"[-12.74, 1.93]",-0.712,medium,0.2812,negative (-)
Hap6,12,51.729,-5.271,"[-9.85, -0.69]",-0.692,medium,0.0435*,negative (-)
Hap18,4,51.782,-5.218,"[-13.41, 2.98]",-0.686,medium,0.2982,negative (-)
Hap42,2,51.821,-5.179,"[-6.53, -3.82]",-0.683,medium,0.0010***,negative (-)
Hap38,2,53.204,-3.796,"[-6.46, -1.13]",-0.501,medium,0.1640,negative (-)
Hap27,2,53.287,-3.713,"[-5.99, -1.43]",-0.490,small,0.1215,negative (-)
Hap16,3,60.368,+3.368,"[1.04, 5.70]",0.445,small,0.0665,positive (+)
Hap13,4,53.749,-3.251,"[-7.14, 0.64]",-0.430,small,0.1883,negative (-)
Hap2,92,53.779,-3.221,"[-4.56, -1.88]",-0.471,small,0.0000***,negative (-)
Hap4,26,54.052,-2.948,"[-5.47, -0.43]",-0.395,small,0.0279*,negative (-)
Hap30,1,54.132,-2.868,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap24,2,54.185,-2.815,"[-6.90, 1.27]",-0.371,small,0.3866,negative (-)
Hap19,4,54.244,-2.756,"[-6.48, 0.96]",-0.365,small,0.2305,negative (-)
Hap39,2,54.494,-2.506,"[-6.03, 1.02]",-0.330,small,0.3694,negative (-)
Hap32,1,59.276,+2.276,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap14,4,54.785,-2.215,"[-11.07, 6.64]",-0.291,small,0.6567,negative (-)
Hap29,3,54.811,-2.189,"[-8.02, 3.64]",-0.289,small,0.5347,negative (-)
Hap23,3,54.955,-2.045,"[-12.82, 8.73]",-0.268,small,0.7451,negative (-)
Hap3,72,55.124,-1.876,"[-3.63, -0.12]",-0.257,small,0.0378*,negative (-)
Hap34,2,55.672,-1.328,"[-4.96, 2.30]",-0.175,negligible,0.5894,negative (-)
Hap10,6,56.037,-0.963,"[-8.30, 6.38]",-0.126,negligible,0.8070,negative (-)
Hap28,3,56.182,-0.818,"[-14.01, 12.37]",-0.107,negligible,0.9142,negative (-)
Hap36,2,57.534,+0.534,"[-12.47, 13.53]",0.070,negligible,0.9488,positive (+)
Hap1,227,57.000,REF,-,-,-,-,-
