Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap17,2,44.408,-11.644,"[-13.06, -10.23]",-1.886,large,0.0000***,negative (-)
Hap30,3,46.001,-10.051,"[-13.08, -7.03]",-1.632,large,0.0103*,negative (-)
Hap36,2,64.572,+8.520,"[-7.91, 24.95]",1.359,large,0.4936,positive (+)
Hap39,1,47.820,-8.232,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap31,3,47.898,-8.154,"[-10.36, -5.94]",-1.325,large,0.0029***,negative (-)
Hap29,3,48.051,-8.002,"[-12.94, -3.06]",-1.296,large,0.0754,negative (-)
Hap12,3,48.106,-7.946,"[-10.22, -5.67]",-1.291,large,0.0040***,negative (-)
Hap10,7,48.320,-7.732,"[-10.55, -4.92]",-1.268,large,0.0005***,negative (-)
Hap8,13,48.690,-7.362,"[-11.92, -2.80]",-1.149,large,0.0071***,negative (-)
Hap45,2,48.818,-7.234,"[-11.50, -2.96]",-1.170,large,0.1592,negative (-)
Hap21,5,63.068,+7.016,"[1.04, 13.00]",1.128,large,0.0784,positive (+)
Hap20,4,49.258,-6.794,"[-10.55, -3.04]",-1.105,large,0.0282*,negative (-)
Hap24,4,49.709,-6.343,"[-11.43, -1.26]",-1.027,large,0.0840,negative (-)
Hap46,2,49.729,-6.323,"[-10.83, -1.82]",-1.023,large,0.1971,negative (-)
Hap22,5,49.765,-6.287,"[-12.24, -0.34]",-1.011,large,0.1022,negative (-)
Hap23,4,50.047,-6.005,"[-12.03, 0.02]",-0.969,large,0.1394,negative (-)
Hap18,6,50.545,-5.507,"[-8.99, -2.02]",-0.898,large,0.0202*,negative (-)
Hap28,4,50.922,-5.130,"[-7.92, -2.34]",-0.836,large,0.0203*,negative (-)
Hap19,4,51.004,-5.048,"[-9.42, -0.67]",-0.819,large,0.0976,negative (-)
Hap16,5,51.061,-4.991,"[-8.11, -1.87]",-0.814,large,0.0242*,negative (-)
Hap15,5,51.536,-4.516,"[-7.35, -1.68]",-0.738,medium,0.0225*,negative (-)
Hap25,3,60.346,+4.294,"[-7.70, 16.29]",0.682,medium,0.5546,positive (+)
Hap34,2,51.821,-4.231,"[-5.68, -2.78]",-0.685,medium,0.0013***,negative (-)
Hap6,19,51.864,-4.188,"[-7.83, -0.54]",-0.652,medium,0.0346*,negative (-)
Hap4,36,51.893,-4.159,"[-6.24, -2.08]",-0.691,medium,0.0002***,negative (-)
Hap41,2,52.211,-3.841,"[-10.05, 2.36]",-0.621,medium,0.4289,negative (-)
Hap5,21,52.538,-3.514,"[-5.82, -1.21]",-0.585,medium,0.0052***,negative (-)
Hap43,2,52.562,-3.490,"[-26.23, 19.25]",-0.549,medium,0.8138,negative (-)
Hap9,11,52.615,-3.437,"[-6.83, -0.04]",-0.559,medium,0.0695,negative (-)
Hap47,2,59.187,+3.135,"[-0.90, 7.17]",0.507,medium,0.3427,positive (+)
Hap13,8,53.214,-2.838,"[-6.18, 0.51]",-0.464,small,0.1314,negative (-)
Hap35,2,53.445,-2.607,"[-4.34, -0.87]",-0.422,small,0.0622,negative (-)
Hap42,2,58.655,+2.603,"[-4.96, 10.17]",0.420,small,0.6182,positive (+)
Hap2,112,58.642,+2.590,"[0.90, 4.28]",0.396,small,0.0030***,positive (+)
Hap33,3,53.491,-2.561,"[-11.36, 6.24]",-0.411,small,0.6242,negative (-)
Hap37,2,53.546,-2.506,"[-4.17, -0.85]",-0.406,small,0.0522,negative (-)
Hap27,4,58.549,+2.497,"[-7.94, 12.94]",0.393,small,0.6706,positive (+)
Hap7,13,53.612,-2.440,"[-6.16, 1.28]",-0.392,small,0.2186,negative (-)
Hap40,2,58.380,+2.328,"[-1.40, 6.05]",0.377,small,0.4079,positive (+)
Hap26,4,53.938,-2.114,"[-9.84, 5.61]",-0.338,small,0.6276,negative (-)
Hap14,8,57.873,+1.821,"[-3.38, 7.02]",0.290,small,0.5125,positive (+)
Hap32,3,56.992,+0.940,"[-4.86, 6.74]",0.152,negligible,0.7788,positive (+)
Hap44,2,55.133,-0.919,"[-3.29, 1.45]",-0.149,negligible,0.5406,negative (-)
Hap3,77,55.297,-0.755,"[-2.94, 1.43]",-0.106,negligible,0.4995,negative (-)
Hap11,9,55.702,-0.350,"[-3.67, 2.97]",-0.057,negligible,0.8401,negative (-)
Hap1,118,56.052,REF,-,-,-,-,-
