Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap38,2,38.055,-20.056,"[-24.63, -15.48]",-2.759,large,0.0426*,negative (-)
Hap45,2,47.133,-10.978,"[-19.57, -2.38]",-1.505,large,0.2281,negative (-)
Hap13,9,47.859,-10.252,"[-13.86, -6.65]",-1.439,large,0.0001***,negative (-)
Hap14,4,47.881,-10.230,"[-15.31, -5.15]",-1.414,large,0.0197*,negative (-)
Hap35,3,48.554,-9.557,"[-12.88, -6.24]",-1.322,large,0.0081***,negative (-)
Hap37,2,49.527,-8.584,"[-10.25, -6.92]",-1.182,large,0.0000***,negative (-)
Hap31,3,50.065,-8.046,"[-16.57, 0.47]",-1.101,large,0.1966,negative (-)
Hap27,4,50.210,-7.901,"[-17.39, 1.59]",-1.068,large,0.1963,negative (-)
Hap28,4,50.219,-7.892,"[-13.56, -2.22]",-1.088,large,0.0602,negative (-)
Hap7,18,50.480,-7.631,"[-10.94, -4.33]",-1.069,large,0.0001***,negative (-)
Hap48,2,65.687,+7.576,"[5.04, 10.11]",1.043,large,0.0131*,positive (+)
Hap46,2,65.200,+7.088,"[4.95, 9.22]",0.976,large,0.0013***,positive (+)
Hap24,5,51.034,-7.077,"[-9.94, -4.22]",-0.989,large,0.0011***,negative (-)
Hap34,3,51.050,-7.061,"[-11.34, -2.79]",-0.976,large,0.0558,negative (-)
Hap43,1,51.253,-6.858,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap50,2,51.437,-6.674,"[-10.48, -2.87]",-0.918,large,0.1142,negative (-)
Hap41,2,51.490,-6.621,"[-10.53, -2.71]",-0.911,large,0.1229,negative (-)
Hap25,3,51.941,-6.171,"[-11.54, -0.80]",-0.851,large,0.1314,negative (-)
Hap18,4,64.278,+6.167,"[0.45, 11.88]",0.850,large,0.1111,positive (+)
Hap40,2,51.974,-6.137,"[-13.56, 1.28]",-0.842,large,0.3353,negative (-)
Hap8,15,52.118,-5.993,"[-9.18, -2.80]",-0.849,large,0.0012***,negative (-)
Hap15,7,52.555,-5.556,"[-12.94, 1.82]",-0.741,medium,0.1861,negative (-)
Hap30,2,52.614,-5.497,"[-8.50, -2.49]",-0.757,medium,0.0738,negative (-)
Hap4,53,53.222,-4.889,"[-6.84, -2.94]",-0.780,medium,0.0000***,negative (-)
Hap10,11,53.225,-4.886,"[-9.40, -0.37]",-0.670,medium,0.0536,negative (-)
Hap29,4,53.242,-4.870,"[-13.75, 4.01]",-0.661,medium,0.3568,negative (-)
Hap26,4,53.606,-4.505,"[-10.37, 1.36]",-0.621,medium,0.2163,negative (-)
Hap3,54,53.902,-4.209,"[-6.63, -1.78]",-0.590,medium,0.0009***,negative (-)
Hap20,5,62.070,+3.959,"[-2.46, 10.38]",0.543,medium,0.2858,positive (+)
Hap16,8,54.256,-3.855,"[-9.73, 2.02]",-0.522,medium,0.2339,negative (-)
Hap21,5,54.303,-3.809,"[-6.67, -0.95]",-0.532,medium,0.0303*,negative (-)
Hap6,33,54.425,-3.686,"[-5.69, -1.68]",-0.570,medium,0.0005***,negative (-)
Hap42,1,61.634,+3.523,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap2,66,54.612,-3.499,"[-6.02, -0.98]",-0.455,small,0.0075***,negative (-)
Hap49,2,54.665,-3.447,"[-12.35, 5.46]",-0.472,small,0.5804,negative (-)
Hap5,38,54.890,-3.221,"[-6.08, -0.36]",-0.438,small,0.0305*,negative (-)
Hap23,5,54.942,-3.169,"[-9.89, 3.55]",-0.433,small,0.4023,negative (-)
Hap36,2,55.172,-2.939,"[-12.82, 6.94]",-0.402,small,0.6598,negative (-)
Hap19,6,55.318,-2.793,"[-5.82, 0.23]",-0.392,small,0.1019,negative (-)
Hap32,3,60.785,+2.674,"[-5.66, 11.01]",0.366,small,0.5895,positive (+)
Hap12,7,56.185,-1.927,"[-5.99, 2.14]",-0.269,small,0.3789,negative (-)
Hap22,5,56.219,-1.892,"[-10.98, 7.20]",-0.253,small,0.7029,negative (-)
Hap11,11,59.881,+1.770,"[-3.57, 7.11]",0.237,small,0.5280,positive (+)
Hap17,7,59.855,+1.744,"[-4.22, 7.70]",0.238,small,0.5845,positive (+)
Hap44,2,59.833,+1.722,"[-2.15, 5.59]",0.237,small,0.5037,positive (+)
Hap39,2,59.187,+1.076,"[-3.11, 5.26]",0.148,negligible,0.6840,positive (+)
Hap33,3,59.154,+1.043,"[-6.49, 8.57]",0.143,negligible,0.8095,positive (+)
Hap47,2,59.000,+0.889,"[-1.25, 3.03]",0.122,negligible,0.4534,positive (+)
Hap9,12,57.828,-0.283,"[-6.03, 5.46]",-0.037,negligible,0.9246,negative (-)
Hap1,81,58.111,REF,-,-,-,-,-
