Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap50,1,43.276,-13.619,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap12,3,43.896,-12.998,"[-14.61, -11.38]",-1.716,large,0.0000***,negative (-)
Hap52,2,44.293,-12.601,"[-19.21, -6.00]",-1.657,large,0.1543,negative (-)
Hap22,4,45.151,-11.743,"[-20.30, -3.19]",-1.537,large,0.0714,negative (-)
Hap51,1,46.715,-10.179,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap49,1,47.704,-9.191,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap40,2,47.902,-8.993,"[-15.61, -2.37]",-1.183,large,0.2164,negative (-)
Hap17,6,65.229,+8.334,"[4.34, 12.33]",1.104,large,0.0065***,positive (+)
Hap29,3,48.568,-8.326,"[-9.70, -6.95]",-1.099,large,0.0000***,negative (-)
Hap35,2,48.599,-8.296,"[-14.60, -1.99]",-1.091,large,0.2218,negative (-)
Hap14,5,48.812,-8.083,"[-15.42, -0.75]",-1.059,large,0.0934,negative (-)
Hap19,5,49.204,-7.690,"[-11.84, -3.54]",-1.017,large,0.0167*,negative (-)
Hap25,3,49.673,-7.221,"[-16.87, 2.43]",-0.946,large,0.2769,negative (-)
Hap44,1,49.784,-7.110,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap47,2,50.452,-6.442,"[-9.63, -3.25]",-0.848,large,0.1083,negative (-)
Hap16,5,50.461,-6.433,"[-10.06, -2.80]",-0.852,large,0.0180*,negative (-)
Hap48,1,50.465,-6.430,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap43,2,50.617,-6.278,"[-7.84, -4.72]",-0.826,large,0.0005***,negative (-)
Hap27,3,51.081,-5.814,"[-10.22, -1.41]",-0.767,medium,0.1060,negative (-)
Hap13,6,51.216,-5.678,"[-10.78, -0.58]",-0.749,medium,0.0755,negative (-)
Hap46,2,51.505,-5.389,"[-9.92, -0.86]",-0.709,medium,0.2318,negative (-)
Hap6,21,51.748,-5.146,"[-8.52, -1.77]",-0.678,medium,0.0061***,negative (-)
Hap32,2,51.804,-5.090,"[-13.32, 3.13]",-0.669,medium,0.4328,negative (-)
Hap10,16,52.023,-4.872,"[-8.18, -1.56]",-0.648,medium,0.0093***,negative (-)
Hap4,28,52.138,-4.756,"[-6.80, -2.71]",-0.655,medium,0.0000***,negative (-)
Hap34,2,52.161,-4.733,"[-9.27, -0.19]",-0.623,medium,0.2642,negative (-)
Hap8,18,52.183,-4.711,"[-8.31, -1.12]",-0.620,medium,0.0178*,negative (-)
Hap18,4,52.457,-4.438,"[-6.36, -2.51]",-0.588,medium,0.0024***,negative (-)
Hap36,2,52.665,-4.229,"[-10.40, 1.94]",-0.556,medium,0.3959,negative (-)
Hap5,26,52.766,-4.128,"[-7.11, -1.14]",-0.546,medium,0.0104*,negative (-)
Hap38,2,52.848,-4.046,"[-6.15, -1.94]",-0.533,medium,0.0603,negative (-)
Hap21,4,60.821,+3.927,"[-1.22, 9.08]",0.518,medium,0.2230,positive (+)
Hap37,2,53.144,-3.750,"[-12.28, 4.78]",-0.493,small,0.5427,negative (-)
Hap30,2,53.173,-3.722,"[-9.77, 2.32]",-0.490,small,0.4292,negative (-)
Hap33,2,53.313,-3.581,"[-6.12, -1.04]",-0.471,small,0.1392,negative (-)
Hap2,92,53.383,-3.511,"[-4.97, -2.05]",-0.529,medium,0.0000***,negative (-)
Hap15,5,60.115,+3.220,"[1.53, 4.91]",0.428,small,0.0022***,positive (+)
Hap3,31,59.861,+2.966,"[-0.59, 6.52]",0.373,small,0.1107,positive (+)
Hap23,4,54.050,-2.844,"[-10.10, 4.42]",-0.374,small,0.4959,negative (-)
Hap45,2,54.091,-2.804,"[-3.98, -1.62]",-0.369,small,0.0000***,negative (-)
Hap9,18,54.171,-2.723,"[-5.96, 0.52]",-0.362,small,0.1136,negative (-)
Hap24,3,54.323,-2.571,"[-12.35, 7.21]",-0.337,small,0.6563,negative (-)
Hap41,2,54.381,-2.514,"[-18.64, 13.61]",-0.329,small,0.8108,negative (-)
Hap7,24,59.025,+2.130,"[-1.07, 5.33]",0.280,small,0.2019,positive (+)
Hap11,8,54.989,-1.905,"[-4.43, 0.62]",-0.254,small,0.1663,negative (-)
Hap20,4,58.708,+1.814,"[-1.16, 4.79]",0.240,small,0.2954,positive (+)
Hap39,2,55.348,-1.547,"[-23.81, 20.72]",-0.201,small,0.9138,negative (-)
Hap31,2,55.455,-1.439,"[-17.85, 14.97]",-0.188,negligible,0.8914,negative (-)
Hap42,2,57.630,+0.736,"[-12.47, 13.94]",0.096,negligible,0.9305,positive (+)
Hap26,2,56.499,-0.395,"[-16.11, 15.32]",-0.052,negligible,0.9686,negative (-)
Hap1,165,56.894,REF,-,-,-,-,-
