Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap13,3,43.896,-12.729,"[-14.49, -10.97]",-1.579,large,0.0000***,negative (-)
Hap10,8,49.154,-7.470,"[-10.40, -4.54]",-0.938,large,0.0004***,negative (-)
Hap18,3,49.363,-7.262,"[-9.35, -5.18]",-0.901,large,0.0005***,negative (-)
Hap14,5,49.626,-6.998,"[-10.00, -4.00]",-0.872,large,0.0033***,negative (-)
Hap8,11,50.725,-5.899,"[-10.24, -1.55]",-0.733,medium,0.0204*,negative (-)
Hap17,6,61.500,+4.876,"[-3.08, 12.83]",0.596,medium,0.2804,positive (+)
Hap6,12,61.202,+4.577,"[2.40, 6.75]",0.583,medium,0.0003***,positive (+)
Hap11,8,52.463,-4.161,"[-7.89, -0.43]",-0.520,medium,0.0559,negative (-)
Hap21,5,52.965,-3.659,"[-7.87, 0.55]",-0.455,small,0.1495,negative (-)
Hap16,7,52.970,-3.654,"[-8.31, 1.00]",-0.454,small,0.1668,negative (-)
Hap2,106,53.279,-3.345,"[-4.94, -1.75]",-0.495,small,0.0001***,negative (-)
Hap7,11,59.656,+3.031,"[-2.06, 8.12]",0.373,small,0.2666,positive (+)
Hap15,7,53.883,-2.742,"[-6.47, 0.99]",-0.342,small,0.1883,negative (-)
Hap20,5,58.900,+2.276,"[-0.69, 5.25]",0.284,small,0.1811,positive (+)
Hap4,19,54.589,-2.036,"[-6.52, 2.45]",-0.245,small,0.3835,negative (-)
Hap19,6,54.761,-1.864,"[-4.43, 0.70]",-0.233,small,0.1860,negative (-)
Hap5,14,57.673,+1.049,"[-3.80, 5.89]",0.128,negligible,0.6773,positive (+)
Hap9,10,55.731,-0.893,"[-4.13, 2.34]",-0.112,negligible,0.5973,negative (-)
Hap22,4,55.750,-0.874,"[-3.04, 1.29]",-0.109,negligible,0.4513,negative (-)
Hap3,53,57.445,+0.821,"[-1.63, 3.27]",0.103,negligible,0.5132,positive (+)
Hap12,8,56.816,+0.191,"[-3.26, 3.64]",0.024,negligible,0.9155,positive (+)
Hap1,138,56.625,REF,-,-,-,-,-
