Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap13,5,69.002,+12.002,"[4.35, 19.66]",1.575,large,0.0356*,positive (+)
Hap8,5,46.724,-10.276,"[-15.16, -5.39]",-1.358,large,0.0123*,negative (-)
Hap11,5,48.975,-8.025,"[-11.31, -4.74]",-1.063,large,0.0054***,negative (-)
Hap5,11,49.253,-7.747,"[-10.07, -5.42]",-1.037,large,0.0000***,negative (-)
Hap9,6,51.235,-5.765,"[-10.78, -0.75]",-0.761,medium,0.0698,negative (-)
Hap7,8,51.459,-5.541,"[-8.26, -2.82]",-0.738,medium,0.0029***,negative (-)
Hap6,12,51.729,-5.271,"[-9.85, -0.69]",-0.692,medium,0.0435*,negative (-)
Hap12,4,53.749,-3.251,"[-7.14, 0.64]",-0.430,small,0.1883,negative (-)
Hap2,92,53.779,-3.221,"[-4.56, -1.88]",-0.471,small,0.0000***,negative (-)
Hap4,26,54.052,-2.948,"[-5.47, -0.43]",-0.395,small,0.0279*,negative (-)
Hap3,72,55.124,-1.876,"[-3.63, -0.12]",-0.257,small,0.0378*,negative (-)
Hap10,6,56.037,-0.963,"[-8.30, 6.38]",-0.126,negligible,0.8070,negative (-)
Hap1,227,57.000,REF,-,-,-,-,-
