Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap22,2,38.055,-18.867,"[-23.27, -14.46]",-2.549,large,0.0614,negative (-)
Hap20,2,43.937,-12.985,"[-14.58, -11.39]",-1.755,large,0.0011***,negative (-)
Hap21,2,46.664,-10.257,"[-18.21, -2.31]",-1.384,large,0.2336,negative (-)
Hap9,13,47.530,-9.392,"[-11.83, -6.96]",-1.290,large,0.0000***,negative (-)
Hap18,6,49.242,-7.680,"[-10.26, -5.10]",-1.045,large,0.0007***,negative (-)
Hap10,6,49.599,-7.322,"[-11.15, -3.50]",-0.994,large,0.0103*,negative (-)
Hap16,4,50.260,-6.661,"[-9.22, -4.11]",-0.904,large,0.0063***,negative (-)
Hap12,11,50.303,-6.619,"[-9.53, -3.71]",-0.905,large,0.0007***,negative (-)
Hap19,6,50.339,-6.583,"[-12.51, -0.66]",-0.888,large,0.0785,negative (-)
Hap5,19,50.524,-6.398,"[-9.04, -3.76]",-0.878,large,0.0001***,negative (-)
Hap13,8,50.554,-6.368,"[-9.78, -2.96]",-0.867,large,0.0060***,negative (-)
Hap11,10,51.750,-5.171,"[-9.27, -1.07]",-0.701,medium,0.0327*,negative (-)
Hap6,15,52.049,-4.872,"[-8.58, -1.16]",-0.659,medium,0.0202*,negative (-)
Hap14,6,52.617,-4.305,"[-12.74, 4.13]",-0.574,medium,0.3619,negative (-)
Hap8,15,52.991,-3.931,"[-7.59, -0.27]",-0.532,medium,0.0510,negative (-)
Hap17,7,53.025,-3.897,"[-8.18, 0.38]",-0.528,medium,0.1195,negative (-)
Hap2,132,53.683,-3.239,"[-4.48, -2.00]",-0.502,medium,0.0000***,negative (-)
Hap15,8,54.302,-2.620,"[-6.65, 1.41]",-0.356,small,0.2385,negative (-)
Hap3,55,54.500,-2.422,"[-4.62, -0.22]",-0.326,small,0.0337*,negative (-)
Hap7,18,59.005,+2.083,"[-1.87, 6.04]",0.278,small,0.3144,positive (+)
Hap4,38,57.890,+0.968,"[-2.03, 3.96]",0.127,negligible,0.5293,positive (+)
Hap1,218,56.922,REF,-,-,-,-,-
