Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap6,14,47.095,-9.889,"[-13.50, -6.27]",-1.294,large,0.0001***,negative (-)
Hap9,6,49.599,-7.385,"[-11.20, -3.57]",-0.966,large,0.0100*,negative (-)
Hap11,5,50.194,-6.790,"[-8.85, -4.73]",-0.889,large,0.0005***,negative (-)
Hap10,11,50.303,-6.681,"[-9.58, -3.78]",-0.880,large,0.0006***,negative (-)
Hap5,31,50.337,-6.647,"[-9.01, -4.28]",-0.881,large,0.0000***,negative (-)
Hap19,2,50.433,-6.551,"[-12.09, -1.01]",-0.853,large,0.2475,negative (-)
Hap13,6,50.741,-6.243,"[-10.75, -1.74]",-0.816,large,0.0382*,negative (-)
Hap12,8,51.228,-5.755,"[-9.02, -2.49]",-0.755,medium,0.0081***,negative (-)
Hap4,35,51.300,-5.683,"[-7.92, -3.45]",-0.756,medium,0.0000***,negative (-)
Hap16,5,51.602,-5.382,"[-8.25, -2.51]",-0.705,medium,0.0141*,negative (-)
Hap17,6,52.493,-4.491,"[-9.36, 0.37]",-0.586,medium,0.1258,negative (-)
Hap7,15,60.959,+3.975,"[0.08, 7.87]",0.518,medium,0.0631,positive (+)
Hap3,49,53.248,-3.736,"[-6.11, -1.36]",-0.485,small,0.0030***,negative (-)
Hap2,131,53.675,-3.309,"[-4.53, -2.09]",-0.490,small,0.0000***,negative (-)
Hap15,7,53.714,-3.270,"[-7.68, 1.14]",-0.427,small,0.1923,negative (-)
Hap14,7,58.800,+1.817,"[-2.65, 6.29]",0.237,small,0.4536,positive (+)
Hap18,5,55.503,-1.481,"[-7.84, 4.88]",-0.193,negligible,0.6707,negative (-)
Hap8,13,57.618,+0.635,"[-2.82, 4.09]",0.083,negligible,0.7240,positive (+)
Hap1,250,56.984,REF,-,-,-,-,-
