Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap34,1,72.935,+17.785,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap32,1,40.246,-14.904,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap37,1,42.639,-12.511,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap24,3,48.051,-7.100,"[-12.00, -2.20]",-1.230,large,0.0963,negative (-)
Hap22,3,48.166,-6.984,"[-10.99, -2.98]",-1.212,large,0.0645,negative (-)
Hap36,1,61.614,+6.464,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap11,9,48.742,-6.408,"[-9.64, -3.17]",-1.117,large,0.0033***,negative (-)
Hap26,2,48.943,-6.207,"[-9.93, -2.48]",-1.075,large,0.1637,negative (-)
Hap13,7,60.822,+5.672,"[0.96, 10.38]",0.977,large,0.0530,positive (+)
Hap10,8,49.590,-5.560,"[-7.19, -3.93]",-0.981,large,0.0000***,negative (-)
Hap23,3,50.234,-4.916,"[-10.21, 0.38]",-0.851,large,0.2024,negative (-)
Hap20,4,50.280,-4.870,"[-8.90, -0.84]",-0.846,large,0.0892,negative (-)
Hap9,7,50.958,-4.192,"[-9.73, 1.34]",-0.715,medium,0.1854,negative (-)
Hap21,4,59.319,+4.169,"[-2.96, 11.30]",0.716,medium,0.3325,positive (+)
Hap35,1,59.276,+4.126,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap27,2,51.055,-4.095,"[-10.86, 2.67]",-0.708,medium,0.4400,negative (-)
Hap14,6,51.098,-4.052,"[-8.37, 0.27]",-0.702,medium,0.1200,negative (-)
Hap18,4,51.226,-3.924,"[-8.74, 0.89]",-0.680,medium,0.2017,negative (-)
Hap7,24,59.045,+3.895,"[0.90, 6.89]",0.651,medium,0.0164*,positive (+)
Hap29,2,51.597,-3.553,"[-7.86, 0.75]",-0.615,medium,0.3350,negative (-)
Hap25,2,51.821,-3.329,"[-4.65, -2.01]",-0.577,medium,0.0072***,negative (-)
Hap33,1,51.944,-3.206,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap30,2,52.295,-2.855,"[-15.25, 9.54]",-0.491,small,0.7294,negative (-)
Hap2,73,57.405,+2.255,"[0.17, 4.34]",0.338,small,0.0367*,positive (+)
Hap5,36,53.014,-2.136,"[-3.85, -0.42]",-0.385,small,0.0172*,negative (-)
Hap8,17,53.206,-1.944,"[-5.37, 1.48]",-0.329,small,0.2800,negative (-)
Hap16,5,53.252,-1.898,"[-11.38, 7.58]",-0.317,small,0.7144,negative (-)
Hap6,27,57.023,+1.873,"[-1.26, 5.01]",0.304,small,0.2500,positive (+)
Hap31,1,53.297,-1.853,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap4,44,53.934,-1.216,"[-3.87, 1.43]",-0.188,negligible,0.3722,negative (-)
Hap19,4,53.960,-1.190,"[-7.44, 5.06]",-0.205,small,0.7327,negative (-)
Hap28,2,54.091,-1.059,"[-2.03, -0.09]",-0.184,negligible,0.0339*,negative (-)
Hap17,5,56.002,+0.852,"[-7.25, 8.95]",0.144,negligible,0.8465,positive (+)
Hap12,7,54.535,-0.615,"[-4.94, 3.71]",-0.106,negligible,0.7892,negative (-)
Hap15,5,54.753,-0.397,"[-4.70, 3.90]",-0.069,negligible,0.8643,negative (-)
Hap3,71,54.979,-0.171,"[-2.27, 1.93]",-0.026,negligible,0.8731,negative (-)
Hap1,144,55.150,REF,-,-,-,-,-
