Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap12,6,47.948,-8.026,"[-11.99, -4.06]",-1.183,large,0.0089***,negative (-)
Hap13,6,49.795,-6.179,"[-11.29, -1.07]",-0.908,large,0.0613,negative (-)
Hap8,24,49.869,-6.105,"[-8.30, -3.91]",-0.912,large,0.0000***,negative (-)
Hap19,5,50.019,-5.955,"[-9.38, -2.52]",-0.878,large,0.0226*,negative (-)
Hap11,9,50.673,-5.301,"[-7.44, -3.16]",-0.787,medium,0.0005***,negative (-)
Hap18,5,51.688,-4.286,"[-9.79, 1.22]",-0.630,medium,0.1987,negative (-)
Hap4,34,52.072,-3.902,"[-5.54, -2.27]",-0.593,medium,0.0000***,negative (-)
Hap9,21,52.400,-3.574,"[-6.68, -0.47]",-0.523,medium,0.0337*,negative (-)
Hap5,23,52.493,-3.481,"[-6.86, -0.10]",-0.503,medium,0.0543,negative (-)
Hap10,7,52.571,-3.403,"[-8.56, 1.76]",-0.499,small,0.2415,negative (-)
Hap6,27,52.685,-3.289,"[-6.36, -0.21]",-0.476,small,0.0446*,negative (-)
Hap16,6,59.230,+3.256,"[-4.21, 10.72]",0.474,small,0.4306,positive (+)
Hap17,6,53.130,-2.844,"[-8.20, 2.51]",-0.417,small,0.3436,negative (-)
Hap15,5,53.315,-2.659,"[-6.28, 0.97]",-0.392,small,0.2171,negative (-)
Hap2,45,58.373,+2.399,"[0.22, 4.58]",0.351,small,0.0350*,positive (+)
Hap14,7,54.111,-1.863,"[-6.79, 3.07]",-0.274,small,0.4854,negative (-)
Hap7,29,57.204,+1.230,"[-2.09, 4.55]",0.175,negligible,0.4729,positive (+)
Hap3,29,54.806,-1.168,"[-3.80, 1.46]",-0.171,negligible,0.3895,negative (-)
Hap1,266,55.974,REF,-,-,-,-,-
