Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap18,3,43.010,-14.007,"[-24.07, -3.94]",-1.908,large,0.1102,negative (-)
Hap26,1,44.213,-12.803,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap19,3,47.229,-9.788,"[-15.60, -3.98]",-1.339,large,0.0754,negative (-)
Hap17,1,47.820,-9.197,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap12,2,49.016,-8.001,"[-9.76, -6.24]",-1.094,large,0.0150*,negative (-)
Hap9,6,49.076,-7.941,"[-11.76, -4.12]",-1.090,large,0.0075***,negative (-)
Hap30,2,49.965,-7.052,"[-9.75, -4.35]",-0.964,large,0.0834,negative (-)
Hap7,28,50.768,-6.249,"[-8.60, -3.89]",-0.869,large,0.0000***,negative (-)
Hap29,2,51.381,-5.636,"[-16.56, 5.29]",-0.769,medium,0.4946,negative (-)
Hap6,37,52.033,-4.983,"[-6.88, -3.08]",-0.703,medium,0.0000***,negative (-)
Hap8,20,52.573,-4.443,"[-7.93, -0.96]",-0.604,medium,0.0204*,negative (-)
Hap25,2,52.632,-4.385,"[-7.02, -1.75]",-0.600,medium,0.1417,negative (-)
Hap23,1,52.813,-4.203,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap28,2,52.904,-4.113,"[-23.93, 15.70]",-0.558,medium,0.7538,negative (-)
Hap3,42,52.988,-4.029,"[-6.60, -1.46]",-0.543,medium,0.0033***,negative (-)
Hap31,1,53.183,-3.834,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap5,39,53.401,-3.615,"[-5.83, -1.40]",-0.501,medium,0.0023***,negative (-)
Hap2,46,53.745,-3.272,"[-5.36, -1.18]",-0.454,small,0.0031***,negative (-)
Hap10,10,53.843,-3.173,"[-6.34, -0.00]",-0.437,small,0.0764,negative (-)
Hap15,6,53.957,-3.060,"[-11.31, 5.19]",-0.414,small,0.4991,negative (-)
Hap4,42,53.999,-3.018,"[-5.28, -0.75]",-0.416,small,0.0114*,negative (-)
Hap14,6,54.147,-2.870,"[-7.02, 1.28]",-0.394,small,0.2277,negative (-)
Hap27,2,59.457,+2.440,"[-11.51, 16.40]",0.332,small,0.7894,positive (+)
Hap13,7,54.911,-2.105,"[-4.76, 0.55]",-0.290,small,0.1597,negative (-)
Hap24,2,59.071,+2.054,"[1.09, 3.02]",0.281,small,0.0001***,positive (+)
Hap20,3,58.666,+1.650,"[-4.88, 8.18]",0.226,small,0.6677,positive (+)
Hap16,5,55.382,-1.634,"[-5.58, 2.31]",-0.224,small,0.4579,negative (-)
Hap21,3,56.019,-0.997,"[-7.87, 5.88]",-0.136,negligible,0.8021,negative (-)
Hap11,8,56.137,-0.879,"[-4.73, 2.97]",-0.121,negligible,0.6665,negative (-)
Hap22,2,57.543,+0.527,"[-2.80, 3.85]",0.072,negligible,0.8023,positive (+)
Hap1,245,57.017,REF,-,-,-,-,-
