Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap13,2,44.408,-11.543,"[-12.73, -10.36]",-1.700,large,0.0001***,negative (-)
Hap12,7,48.333,-7.618,"[-11.88, -3.36]",-1.124,large,0.0113*,negative (-)
Hap20,2,49.385,-6.565,"[-7.69, -5.44]",-0.967,large,0.0002***,negative (-)
Hap18,5,50.019,-5.931,"[-9.36, -2.50]",-0.876,large,0.0230*,negative (-)
Hap9,15,50.689,-5.261,"[-8.06, -2.47]",-0.781,medium,0.0019***,negative (-)
Hap16,5,51.191,-4.760,"[-7.83, -1.69]",-0.704,medium,0.0318*,negative (-)
Hap19,5,51.197,-4.753,"[-9.35, -0.16]",-0.701,medium,0.1084,negative (-)
Hap11,7,51.370,-4.581,"[-9.89, 0.73]",-0.673,medium,0.1396,negative (-)
Hap8,16,51.504,-4.447,"[-7.02, -1.88]",-0.662,medium,0.0031***,negative (-)
Hap15,5,51.666,-4.284,"[-10.59, 2.02]",-0.629,medium,0.2513,negative (-)
Hap7,18,51.703,-4.247,"[-7.48, -1.01]",-0.625,medium,0.0184*,negative (-)
Hap5,32,60.065,+4.115,"[1.64, 6.59]",0.605,medium,0.0023***,positive (+)
Hap2,33,52.196,-3.755,"[-5.39, -2.12]",-0.571,medium,0.0000***,negative (-)
Hap6,26,52.757,-3.193,"[-6.35, -0.04]",-0.462,small,0.0568,negative (-)
Hap14,5,52.793,-3.158,"[-7.32, 1.01]",-0.466,small,0.2063,negative (-)
Hap17,3,53.606,-2.344,"[-6.41, 1.72]",-0.346,small,0.3675,negative (-)
Hap3,33,57.379,+1.429,"[-1.43, 4.29]",0.206,small,0.3340,positive (+)
Hap4,28,54.949,-1.002,"[-3.70, 1.69]",-0.147,negligible,0.4716,negative (-)
Hap10,14,55.165,-0.785,"[-4.27, 2.70]",-0.116,negligible,0.6648,negative (-)
Hap1,270,55.950,REF,-,-,-,-,-
