Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap10,9,48.742,-6.408,"[-9.64, -3.17]",-1.117,large,0.0033***,negative (-)
Hap13,7,60.822,+5.672,"[0.96, 10.38]",0.977,large,0.0530,positive (+)
Hap11,8,49.590,-5.560,"[-7.19, -3.93]",-0.981,large,0.0000***,negative (-)
Hap9,7,50.958,-4.192,"[-9.73, 1.34]",-0.715,medium,0.1854,negative (-)
Hap14,6,51.098,-4.052,"[-8.37, 0.27]",-0.702,medium,0.1200,negative (-)
Hap18,4,51.226,-3.924,"[-8.74, 0.89]",-0.680,medium,0.2017,negative (-)
Hap7,24,59.045,+3.895,"[0.90, 6.89]",0.651,medium,0.0164*,positive (+)
Hap2,73,57.405,+2.255,"[0.17, 4.34]",0.338,small,0.0367*,positive (+)
Hap5,36,53.014,-2.136,"[-3.85, -0.42]",-0.385,small,0.0172*,negative (-)
Hap8,17,53.206,-1.944,"[-5.37, 1.48]",-0.329,small,0.2800,negative (-)
Hap17,5,53.252,-1.898,"[-11.38, 7.58]",-0.317,small,0.7144,negative (-)
Hap6,27,57.023,+1.873,"[-1.26, 5.01]",0.304,small,0.2500,positive (+)
Hap4,44,53.934,-1.216,"[-3.87, 1.43]",-0.188,negligible,0.3722,negative (-)
Hap16,5,56.002,+0.852,"[-7.25, 8.95]",0.144,negligible,0.8465,positive (+)
Hap12,7,54.535,-0.615,"[-4.94, 3.71]",-0.106,negligible,0.7892,negative (-)
Hap15,5,54.753,-0.397,"[-4.70, 3.90]",-0.069,negligible,0.8643,negative (-)
Hap3,71,54.979,-0.171,"[-2.27, 1.93]",-0.026,negligible,0.8731,negative (-)
Hap1,144,55.150,REF,-,-,-,-,-
