Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap13,5,65.197,+10.638,"[5.87, 15.40]",1.707,large,0.0103*,positive (+)
Hap7,4,48.363,-6.197,"[-11.00, -1.39]",-0.995,large,0.0804,negative (-)
Hap6,9,49.106,-5.453,"[-7.91, -3.00]",-0.884,large,0.0013***,negative (-)
Hap9,6,59.708,+5.149,"[-2.65, 12.94]",0.811,large,0.2508,positive (+)
Hap4,32,50.942,-3.617,"[-6.60, -0.63]",-0.553,medium,0.0229*,negative (-)
Hap8,6,51.475,-3.084,"[-6.86, 0.69]",-0.496,small,0.1647,negative (-)
Hap2,174,57.146,+2.587,"[1.18, 3.99]",0.377,small,0.0004***,positive (+)
Hap10,6,52.293,-2.266,"[-6.50, 1.96]",-0.364,small,0.3383,negative (-)
Hap3,42,53.070,-1.490,"[-3.63, 0.65]",-0.237,small,0.1776,negative (-)
Hap11,5,53.331,-1.228,"[-7.33, 4.88]",-0.196,negligible,0.7128,negative (-)
Hap5,9,55.675,+1.116,"[-3.61, 5.84]",0.178,negligible,0.6549,positive (+)
Hap12,5,53.487,-1.072,"[-9.13, 6.98]",-0.170,negligible,0.8067,negative (-)
Hap1,206,54.559,REF,-,-,-,-,-
