Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap32,3,64.131,+10.729,"[8.17, 13.28]",2.661,large,0.0081***,positive (+)
Hap24,1,43.966,-9.436,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap31,1,44.850,-8.552,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap48,2,45.399,-8.003,"[-16.70, 0.70]",-1.960,large,0.3195,negative (-)
Hap6,28,59.978,+6.576,"[4.20, 8.95]",1.450,large,0.0000***,positive (+)
Hap29,3,59.154,+5.752,"[-1.65, 13.15]",1.398,large,0.2645,positive (+)
Hap52,1,47.820,-5.582,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap45,2,58.781,+5.379,"[4.24, 6.52]",1.332,large,0.0019***,positive (+)
Hap12,6,48.087,-5.315,"[-10.46, -0.17]",-1.270,large,0.0962,negative (-)
Hap23,4,48.296,-5.106,"[-9.48, -0.74]",-1.255,large,0.1007,negative (-)
Hap43,2,48.697,-4.705,"[-6.97, -2.44]",-1.164,large,0.1112,negative (-)
Hap13,6,48.731,-4.671,"[-11.02, 1.68]",-1.086,large,0.2072,negative (-)
Hap26,4,48.738,-4.664,"[-8.40, -0.93]",-1.152,large,0.0851,negative (-)
Hap30,3,48.761,-4.641,"[-6.38, -2.91]",-1.153,large,0.0128*,negative (-)
Hap53,2,48.813,-4.589,"[-6.89, -2.29]",-1.135,large,0.1186,negative (-)
Hap33,3,48.816,-4.586,"[-10.55, 1.38]",-1.123,large,0.2668,negative (-)
Hap5,32,57.482,+4.080,"[1.15, 7.01]",0.776,medium,0.0097***,positive (+)
Hap42,2,49.499,-3.903,"[-20.04, 12.23]",-0.931,large,0.7179,negative (-)
Hap28,3,49.753,-3.649,"[-6.37, -0.92]",-0.905,large,0.1013,negative (-)
Hap8,16,56.783,+3.381,"[-0.35, 7.11]",0.734,medium,0.0943,positive (+)
Hap22,3,50.244,-3.158,"[-8.02, 1.70]",-0.778,medium,0.3254,negative (-)
Hap4,39,56.515,+3.113,"[0.50, 5.73]",0.581,medium,0.0240*,positive (+)
Hap39,2,56.423,+3.020,"[-12.52, 18.56]",0.723,medium,0.7680,positive (+)
Hap34,3,50.392,-3.010,"[-10.30, 4.28]",-0.732,medium,0.5017,negative (-)
Hap3,66,56.315,+2.913,"[0.84, 4.98]",0.498,small,0.0071***,positive (+)
Hap10,12,50.755,-2.647,"[-5.93, 0.64]",-0.626,medium,0.1393,negative (-)
Hap11,8,50.763,-2.639,"[-6.15, 0.88]",-0.641,medium,0.1807,negative (-)
Hap41,2,55.924,+2.521,"[-10.59, 15.63]",0.609,medium,0.7702,positive (+)
Hap25,3,55.839,+2.437,"[-16.13, 21.01]",0.531,medium,0.8210,positive (+)
Hap7,16,55.698,+2.296,"[-2.04, 6.63]",0.472,small,0.3144,positive (+)
Hap18,6,51.170,-2.232,"[-6.59, 2.12]",-0.541,medium,0.3586,negative (-)
Hap40,2,55.474,+2.072,"[-1.83, 5.97]",0.512,medium,0.4769,positive (+)
Hap15,6,55.424,+2.022,"[-2.83, 6.87]",0.486,small,0.4493,positive (+)
Hap16,7,55.409,+2.007,"[-3.77, 7.78]",0.464,small,0.5203,positive (+)
Hap2,87,55.371,+1.969,"[0.22, 3.72]",0.337,small,0.0294*,positive (+)
Hap37,2,51.518,-1.884,"[-10.62, 6.85]",-0.461,small,0.7446,negative (-)
Hap44,2,55.234,+1.832,"[-10.74, 14.40]",0.443,small,0.8225,positive (+)
Hap9,10,51.570,-1.832,"[-5.18, 1.52]",-0.440,small,0.3088,negative (-)
Hap50,2,51.597,-1.805,"[-6.07, 2.46]",-0.446,small,0.5523,negative (-)
Hap36,2,51.613,-1.789,"[-6.44, 2.87]",-0.442,small,0.5835,negative (-)
Hap27,4,55.170,+1.768,"[-2.40, 5.94]",0.435,small,0.4635,positive (+)
Hap38,2,51.975,-1.428,"[-5.26, 2.40]",-0.353,small,0.5905,negative (-)
Hap46,1,52.069,-1.333,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap20,5,52.216,-1.186,"[-7.33, 4.96]",-0.283,small,0.7238,negative (-)
Hap47,2,52.295,-1.108,"[-13.49, 11.28]",-0.268,small,0.8894,negative (-)
Hap49,1,52.352,-1.050,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap17,5,52.610,-0.792,"[-8.85, 7.26]",-0.182,negligible,0.8563,negative (-)
Hap51,2,54.151,+0.748,"[-5.73, 7.23]",0.184,negligible,0.8575,positive (+)
Hap14,7,53.947,+0.545,"[-8.53, 9.62]",0.112,negligible,0.9101,positive (+)
Hap35,3,53.903,+0.501,"[-8.26, 9.26]",0.121,negligible,0.9209,positive (+)
Hap21,4,53.066,-0.336,"[-4.83, 4.16]",-0.083,negligible,0.8923,negative (-)
Hap19,6,53.496,+0.094,"[-3.92, 4.10]",0.023,negligible,0.9650,positive (+)
Hap1,109,53.402,REF,-,-,-,-,-
