Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap14,5,48.295,-8.834,"[-12.76, -4.90]",-1.210,large,0.0085***,negative (-)
Hap7,7,49.989,-7.139,"[-9.84, -4.44]",-0.983,large,0.0008***,negative (-)
Hap5,22,50.057,-7.071,"[-10.59, -3.55]",-0.953,large,0.0006***,negative (-)
Hap11,6,51.475,-5.653,"[-9.47, -1.84]",-0.775,medium,0.0284*,negative (-)
Hap6,12,51.503,-5.625,"[-8.60, -2.65]",-0.777,medium,0.0023***,negative (-)
Hap12,6,51.897,-5.231,"[-14.81, 4.35]",-0.699,medium,0.3325,negative (-)
Hap3,41,52.359,-4.769,"[-6.85, -2.69]",-0.669,medium,0.0000***,negative (-)
Hap9,9,61.492,+4.364,"[-0.91, 9.64]",0.592,medium,0.1409,positive (+)
Hap10,7,52.887,-4.241,"[-8.21, -0.27]",-0.582,medium,0.0755,negative (-)
Hap15,5,53.331,-3.797,"[-9.93, 2.33]",-0.517,medium,0.2882,negative (-)
Hap2,155,53.661,-3.467,"[-4.75, -2.19]",-0.540,medium,0.0000***,negative (-)
Hap8,10,58.560,+1.432,"[-4.53, 7.39]",0.192,negligible,0.6482,positive (+)
Hap13,4,56.243,-0.885,"[-8.66, 6.89]",-0.120,negligible,0.8373,negative (-)
Hap4,32,57.577,+0.449,"[-3.12, 4.02]",0.058,negligible,0.8067,positive (+)
Hap16,5,57.273,+0.145,"[-4.58, 4.87]",0.020,negligible,0.9547,positive (+)
Hap1,202,57.128,REF,-,-,-,-,-
