Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap6,28,59.978,+6.576,"[4.20, 8.95]",1.450,large,0.0000***,positive (+)
Hap12,6,48.087,-5.315,"[-10.46, -0.17]",-1.270,large,0.0962,negative (-)
Hap14,6,48.731,-4.671,"[-11.02, 1.68]",-1.086,large,0.2072,negative (-)
Hap5,32,57.482,+4.080,"[1.15, 7.01]",0.776,medium,0.0097***,positive (+)
Hap8,16,56.783,+3.381,"[-0.35, 7.11]",0.734,medium,0.0943,positive (+)
Hap22,3,50.244,-3.158,"[-8.02, 1.70]",-0.778,medium,0.3254,negative (-)
Hap4,39,56.515,+3.113,"[0.50, 5.73]",0.581,medium,0.0240*,positive (+)
Hap3,66,56.315,+2.913,"[0.84, 4.98]",0.498,small,0.0071***,positive (+)
Hap10,12,50.755,-2.647,"[-5.93, 0.64]",-0.626,medium,0.1393,negative (-)
Hap11,8,50.763,-2.639,"[-6.15, 0.88]",-0.641,medium,0.1807,negative (-)
Hap7,16,55.698,+2.296,"[-2.04, 6.63]",0.472,small,0.3144,positive (+)
Hap19,6,51.170,-2.232,"[-6.59, 2.12]",-0.541,medium,0.3586,negative (-)
Hap16,6,55.424,+2.022,"[-2.83, 6.87]",0.486,small,0.4493,positive (+)
Hap13,7,55.409,+2.007,"[-3.77, 7.78]",0.464,small,0.5203,positive (+)
Hap2,87,55.371,+1.969,"[0.22, 3.72]",0.337,small,0.0294*,positive (+)
Hap9,10,51.570,-1.832,"[-5.18, 1.52]",-0.440,small,0.3088,negative (-)
Hap21,5,52.216,-1.186,"[-7.33, 4.96]",-0.283,small,0.7238,negative (-)
Hap18,5,52.610,-0.792,"[-8.85, 7.26]",-0.182,negligible,0.8563,negative (-)
Hap15,7,53.947,+0.545,"[-8.53, 9.62]",0.112,negligible,0.9101,positive (+)
Hap20,4,53.066,-0.336,"[-4.83, 4.16]",-0.083,negligible,0.8923,negative (-)
Hap17,6,53.496,+0.094,"[-3.92, 4.10]",0.023,negligible,0.9650,positive (+)
Hap1,109,53.402,REF,-,-,-,-,-
