Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap35,2,44.904,-12.517,"[-16.87, -8.16]",-1.776,large,0.0975,negative (-)
Hap22,1,47.820,-9.602,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap29,3,48.051,-9.371,"[-14.26, -4.48]",-1.331,large,0.0578,negative (-)
Hap31,2,48.818,-8.604,"[-12.82, -4.39]",-1.221,large,0.1389,negative (-)
Hap16,2,49.016,-8.406,"[-10.16, -6.65]",-1.193,large,0.0147*,negative (-)
Hap32,2,49.194,-8.227,"[-15.64, -0.81]",-1.166,large,0.2687,negative (-)
Hap5,23,49.237,-8.185,"[-10.36, -6.01]",-1.186,large,0.0000***,negative (-)
Hap25,4,49.250,-8.171,"[-12.44, -3.90]",-1.162,large,0.0284*,negative (-)
Hap27,2,49.321,-8.100,"[-12.96, -3.24]",-1.149,large,0.1757,negative (-)
Hap17,6,49.845,-7.576,"[-12.94, -2.21]",-1.074,large,0.0372*,negative (-)
Hap23,4,50.496,-6.926,"[-14.29, 0.44]",-0.980,large,0.1600,negative (-)
Hap33,2,50.776,-6.646,"[-7.73, -5.56]",-0.943,large,0.0000***,negative (-)
Hap19,6,51.076,-6.345,"[-10.12, -2.57]",-0.904,large,0.0182*,negative (-)
Hap9,14,51.270,-6.152,"[-9.40, -2.90]",-0.878,large,0.0021***,negative (-)
Hap30,3,51.400,-6.021,"[-13.56, 1.51]",-0.853,large,0.2544,negative (-)
Hap24,4,51.565,-5.856,"[-11.35, -0.36]",-0.831,large,0.1232,negative (-)
Hap20,3,51.725,-5.697,"[-10.88, -0.52]",-0.809,large,0.1563,negative (-)
Hap36,2,51.821,-5.600,"[-6.89, -4.31]",-0.795,medium,0.0014***,negative (-)
Hap8,20,51.851,-5.570,"[-8.98, -2.16]",-0.785,medium,0.0041***,negative (-)
Hap2,41,52.012,-5.410,"[-7.24, -3.58]",-0.792,medium,0.0000***,negative (-)
Hap6,21,52.302,-5.119,"[-7.81, -2.42]",-0.733,medium,0.0010***,negative (-)
Hap14,7,52.438,-4.983,"[-11.97, 2.00]",-0.699,medium,0.2099,negative (-)
Hap12,6,52.809,-4.612,"[-8.01, -1.21]",-0.658,medium,0.0390*,negative (-)
Hap10,10,53.504,-3.917,"[-6.89, -0.94]",-0.561,medium,0.0257*,negative (-)
Hap34,2,53.803,-3.618,"[-6.74, -0.50]",-0.513,medium,0.2312,negative (-)
Hap15,5,53.880,-3.541,"[-13.90, 6.82]",-0.494,small,0.5390,negative (-)
Hap3,41,54.122,-3.300,"[-5.59, -1.01]",-0.469,small,0.0065***,negative (-)
Hap4,30,54.231,-3.191,"[-5.50, -0.88]",-0.459,small,0.0099***,negative (-)
Hap13,8,60.426,+3.004,"[-1.91, 7.92]",0.426,small,0.2675,positive (+)
Hap39,2,55.133,-2.288,"[-4.56, -0.02]",-0.325,small,0.2389,negative (-)
Hap21,4,55.226,-2.195,"[-7.58, 3.19]",-0.312,small,0.4795,negative (-)
Hap18,6,55.367,-2.055,"[-8.17, 4.06]",-0.291,small,0.5380,negative (-)
Hap7,23,55.454,-1.968,"[-5.80, 1.87]",-0.271,small,0.3241,negative (-)
Hap37,2,56.154,-1.268,"[-5.79, 3.26]",-0.180,negligible,0.6747,negative (-)
Hap26,4,56.155,-1.266,"[-9.40, 6.87]",-0.179,negligible,0.7797,negative (-)
Hap38,2,58.655,+1.234,"[-6.30, 8.77]",0.175,negligible,0.8011,positive (+)
Hap28,3,58.407,+0.986,"[-1.25, 3.22]",0.140,negligible,0.4549,positive (+)
Hap11,9,57.515,+0.093,"[-3.57, 3.75]",0.013,negligible,0.9612,positive (+)
Hap1,240,57.421,REF,-,-,-,-,-
