Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap47,2,38.055,-17.334,"[-21.75, -12.92]",-3.047,large,0.0660,negative (-)
Hap14,2,43.861,-11.528,"[-13.73, -9.33]",-2.028,large,0.0169*,negative (-)
Hap26,1,43.966,-11.423,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap36,2,45.188,-10.201,"[-14.05, -6.35]",-1.794,large,0.0956,negative (-)
Hap46,1,65.400,+10.011,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap17,2,45.621,-9.768,"[-15.02, -4.52]",-1.716,large,0.1551,negative (-)
Hap30,2,47.352,-8.037,"[-9.97, -6.11]",-1.414,large,0.0148*,negative (-)
Hap34,2,62.125,+6.736,"[4.14, 9.33]",1.185,large,0.0699,positive (+)
Hap37,2,48.984,-6.405,"[-9.49, -3.32]",-1.127,large,0.1111,negative (-)
Hap19,4,49.281,-6.108,"[-7.70, -4.52]",-1.084,large,0.0000***,negative (-)
Hap20,3,49.358,-6.031,"[-11.69, -0.37]",-1.059,large,0.1635,negative (-)
Hap31,2,49.465,-5.924,"[-19.16, 7.32]",-1.030,large,0.5402,negative (-)
Hap13,4,49.881,-5.508,"[-12.11, 1.10]",-0.961,large,0.1962,negative (-)
Hap25,3,60.461,+5.072,"[-3.36, 13.51]",0.884,large,0.3567,positive (+)
Hap38,2,50.536,-4.853,"[-28.54, 18.83]",-0.822,large,0.7567,negative (-)
Hap44,2,51.020,-4.369,"[-12.87, 4.13]",-0.765,medium,0.4937,negative (-)
Hap8,21,51.206,-4.183,"[-7.08, -1.28]",-0.721,medium,0.0088***,negative (-)
Hap21,4,51.521,-3.868,"[-7.85, 0.11]",-0.683,medium,0.1408,negative (-)
Hap27,3,51.527,-3.862,"[-11.23, 3.51]",-0.675,medium,0.4086,negative (-)
Hap42,2,51.548,-3.841,"[-7.45, -0.23]",-0.675,medium,0.2521,negative (-)
Hap9,20,51.637,-3.752,"[-7.24, -0.26]",-0.624,medium,0.0461*,negative (-)
Hap33,2,51.718,-3.671,"[-9.17, 1.83]",-0.645,medium,0.4039,negative (-)
Hap22,3,51.918,-3.471,"[-13.97, 7.03]",-0.600,medium,0.5822,negative (-)
Hap29,2,52.060,-3.329,"[-22.71, 16.05]",-0.571,medium,0.7930,negative (-)
Hap28,2,58.655,+3.266,"[-4.29, 10.82]",0.573,medium,0.5480,positive (+)
Hap39,2,58.555,+3.166,"[-8.22, 14.55]",0.552,medium,0.6812,positive (+)
Hap12,6,52.232,-3.157,"[-7.61, 1.30]",-0.554,medium,0.2178,negative (-)
Hap6,26,52.747,-2.642,"[-5.58, 0.30]",-0.441,small,0.0876,negative (-)
Hap10,19,52.755,-2.634,"[-6.14, 0.87]",-0.441,small,0.1556,negative (-)
Hap7,27,52.849,-2.540,"[-5.54, 0.46]",-0.418,small,0.1065,negative (-)
Hap11,5,53.039,-2.350,"[-8.23, 3.53]",-0.410,small,0.4748,negative (-)
Hap2,103,57.464,+2.075,"[0.29, 3.86]",0.313,small,0.0240*,positive (+)
Hap24,3,53.522,-1.868,"[-13.52, 9.78]",-0.321,small,0.7827,negative (-)
Hap23,3,56.948,+1.559,"[0.47, 2.65]",0.276,small,0.0062***,positive (+)
Hap16,3,53.947,-1.442,"[-6.77, 3.88]",-0.253,small,0.6451,negative (-)
Hap5,36,56.798,+1.409,"[-1.31, 4.13]",0.226,small,0.3145,positive (+)
Hap40,2,54.091,-1.298,"[-2.36, -0.24]",-0.229,small,0.0184*,negative (-)
Hap15,4,56.651,+1.262,"[-6.49, 9.01]",0.219,small,0.7699,positive (+)
Hap35,2,56.614,+1.225,"[-17.73, 20.18]",0.210,small,0.9197,positive (+)
Hap45,2,56.212,+0.823,"[-2.86, 4.50]",0.145,negligible,0.7278,positive (+)
Hap43,2,56.154,+0.765,"[-0.73, 2.26]",0.135,negligible,0.3780,positive (+)
Hap32,1,55.958,+0.569,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap3,53,55.034,-0.355,"[-2.57, 1.86]",-0.057,negligible,0.7547,negative (-)
Hap18,4,55.560,+0.171,"[-6.03, 6.38]",0.030,negligible,0.9600,positive (+)
Hap41,1,55.540,+0.151,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap4,38,55.483,+0.094,"[-2.12, 2.30]",0.016,negligible,0.9335,positive (+)
Hap1,115,55.389,REF,-,-,-,-,-
