Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap21,2,44.408,-12.011,"[-13.88, -10.14]",-1.569,large,0.0000***,negative (-)
Hap25,5,47.527,-8.891,"[-12.82, -4.96]",-1.174,large,0.0046***,negative (-)
Hap18,8,48.039,-8.379,"[-12.38, -4.37]",-1.112,large,0.0021***,negative (-)
Hap20,7,64.141,+7.722,"[-1.77, 17.22]",0.950,large,0.1591,positive (+)
Hap24,5,49.361,-7.057,"[-11.42, -2.70]",-0.930,large,0.0219*,negative (-)
Hap26,5,50.234,-6.184,"[-9.23, -3.14]",-0.819,large,0.0040***,negative (-)
Hap19,7,62.474,+6.055,"[0.93, 11.18]",0.794,medium,0.0513,positive (+)
Hap23,6,61.522,+5.103,"[-3.58, 13.78]",0.646,medium,0.2978,positive (+)
Hap12,10,51.466,-4.953,"[-9.78, -0.13]",-0.646,medium,0.0682,negative (-)
Hap5,27,52.382,-4.036,"[-6.56, -1.52]",-0.564,medium,0.0025***,negative (-)
Hap17,8,52.601,-3.817,"[-11.89, 4.25]",-0.474,small,0.3823,negative (-)
Hap14,9,52.603,-3.815,"[-9.86, 2.23]",-0.488,small,0.2460,negative (-)
Hap3,62,52.651,-3.767,"[-5.78, -1.75]",-0.574,medium,0.0004***,negative (-)
Hap6,25,52.940,-3.479,"[-6.40, -0.56]",-0.472,small,0.0236*,negative (-)
Hap9,16,59.191,+2.773,"[-1.70, 7.25]",0.354,small,0.2386,positive (+)
Hap10,11,53.897,-2.521,"[-5.46, 0.42]",-0.341,small,0.1077,negative (-)
Hap13,9,54.409,-2.010,"[-6.40, 2.38]",-0.265,small,0.3886,negative (-)
Hap8,17,54.765,-1.653,"[-5.35, 2.04]",-0.218,small,0.3891,negative (-)
Hap4,36,54.916,-1.502,"[-4.41, 1.40]",-0.198,negligible,0.3141,negative (-)
Hap22,7,54.948,-1.470,"[-4.30, 1.36]",-0.197,negligible,0.3257,negative (-)
Hap11,11,57.774,+1.356,"[-3.51, 6.22]",0.176,negligible,0.5945,positive (+)
Hap2,71,57.755,+1.337,"[-0.83, 3.50]",0.192,negligible,0.2283,positive (+)
Hap7,25,55.104,-1.314,"[-3.53, 0.90]",-0.188,negligible,0.2481,negative (-)
Hap15,6,55.192,-1.226,"[-7.71, 5.26]",-0.159,negligible,0.7244,negative (-)
Hap16,6,55.909,-0.509,"[-5.12, 4.10]",-0.067,negligible,0.8351,negative (-)
Hap1,83,56.418,REF,-,-,-,-,-
