Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap36,2,66.700,+11.141,"[9.05, 13.24]",1.666,large,0.0299*,positive (+)
Hap33,2,45.486,-10.073,"[-24.66, 4.51]",-1.499,large,0.4041,negative (-)
Hap39,2,46.412,-9.147,"[-14.21, -4.09]",-1.367,large,0.1659,negative (-)
Hap40,2,47.352,-8.207,"[-10.01, -6.41]",-1.227,large,0.0274*,negative (-)
Hap35,2,47.592,-7.967,"[-12.86, -3.07]",-1.190,large,0.1835,negative (-)
Hap43,2,63.130,+7.571,"[3.05, 12.09]",1.131,large,0.1764,positive (+)
Hap12,8,48.402,-7.157,"[-10.36, -3.95]",-1.075,large,0.0024***,negative (-)
Hap22,3,48.668,-6.891,"[-13.05, -0.73]",-1.030,large,0.1555,negative (-)
Hap38,2,48.773,-6.786,"[-10.83, -2.74]",-1.014,large,0.1734,negative (-)
Hap28,3,48.816,-6.743,"[-12.71, -0.78]",-1.008,large,0.1528,negative (-)
Hap20,3,49.368,-6.191,"[-8.99, -3.39]",-0.927,large,0.0368*,negative (-)
Hap37,2,49.417,-6.142,"[-8.99, -3.30]",-0.918,large,0.1200,negative (-)
Hap26,3,61.669,+6.110,"[-1.90, 14.12]",0.912,large,0.2715,positive (+)
Hap24,2,49.488,-6.071,"[-15.73, 3.59]",-0.906,large,0.4321,negative (-)
Hap9,9,49.938,-5.621,"[-8.13, -3.12]",-0.847,large,0.0014***,negative (-)
Hap16,4,60.903,+5.344,"[-2.40, 13.09]",0.796,medium,0.2676,positive (+)
Hap3,22,50.230,-5.329,"[-8.84, -1.81]",-0.782,medium,0.0068***,negative (-)
Hap23,3,60.368,+4.809,"[2.56, 7.06]",0.720,medium,0.0330*,positive (+)
Hap8,12,51.196,-4.363,"[-6.54, -2.19]",-0.660,medium,0.0014***,negative (-)
Hap15,4,51.212,-4.347,"[-11.97, 3.28]",-0.648,medium,0.3437,negative (-)
Hap10,11,59.898,+4.339,"[0.83, 7.85]",0.650,medium,0.0338*,positive (+)
Hap5,20,51.455,-4.105,"[-6.98, -1.23]",-0.615,medium,0.0104*,negative (-)
Hap32,2,51.648,-3.911,"[-5.04, -2.78]",-0.585,medium,0.0037***,negative (-)
Hap19,4,51.873,-3.687,"[-12.04, 4.67]",-0.548,medium,0.4496,negative (-)
Hap13,4,51.903,-3.656,"[-13.52, 6.21]",-0.542,medium,0.5195,negative (-)
Hap42,2,58.960,+3.401,"[-23.99, 30.79]",0.501,medium,0.8480,positive (+)
Hap18,4,58.900,+3.341,"[-7.95, 14.64]",0.494,small,0.6024,positive (+)
Hap29,2,52.222,-3.337,"[-8.53, 1.85]",-0.499,small,0.4198,negative (-)
Hap11,8,58.824,+3.265,"[-2.46, 8.99]",0.484,small,0.2995,positive (+)
Hap27,3,52.395,-3.164,"[-16.90, 10.57]",-0.468,small,0.6956,negative (-)
Hap25,3,58.490,+2.931,"[-1.56, 7.42]",0.438,small,0.3229,positive (+)
Hap31,2,52.745,-2.814,"[-6.92, 1.30]",-0.421,small,0.3959,negative (-)
Hap14,1,52.920,-2.639,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap21,4,58.071,+2.512,"[-3.16, 8.19]",0.375,small,0.4471,positive (+)
Hap7,17,53.050,-2.509,"[-4.91, -0.11]",-0.379,small,0.0540,negative (-)
Hap2,34,57.329,+1.769,"[-0.84, 4.38]",0.261,small,0.1920,positive (+)
Hap34,2,57.144,+1.585,"[-4.50, 7.67]",0.237,small,0.6971,positive (+)
Hap30,2,56.986,+1.427,"[-17.62, 20.47]",0.212,small,0.9071,positive (+)
Hap17,4,54.370,-1.189,"[-3.07, 0.69]",-0.178,negligible,0.2771,negative (-)
Hap4,28,56.588,+1.029,"[-2.93, 4.99]",0.145,negligible,0.6144,positive (+)
Hap41,2,56.279,+0.720,"[-3.90, 5.34]",0.108,negligible,0.8091,positive (+)
Hap6,17,55.540,-0.019,"[-2.93, 2.89]",-0.003,negligible,0.9899,negative (-)
Hap1,285,55.559,REF,-,-,-,-,-
