Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap31,2,44.904,-12.657,"[-17.15, -8.17]",-1.656,large,0.0808,negative (-)
Hap15,3,46.501,-11.060,"[-15.43, -6.69]",-1.452,large,0.0239*,negative (-)
Hap33,2,48.835,-8.727,"[-11.07, -6.39]",-1.143,large,0.0095***,negative (-)
Hap8,18,49.043,-8.518,"[-12.20, -4.84]",-1.117,large,0.0001***,negative (-)
Hap21,6,49.105,-8.457,"[-11.09, -5.82]",-1.124,large,0.0001***,negative (-)
Hap30,2,49.609,-7.953,"[-19.03, 3.13]",-1.036,large,0.3879,negative (-)
Hap14,11,50.352,-7.210,"[-11.17, -3.25]",-0.953,large,0.0034***,negative (-)
Hap26,3,50.509,-7.053,"[-11.36, -2.75]",-0.926,large,0.0623,negative (-)
Hap18,8,50.662,-6.899,"[-9.85, -3.95]",-0.920,large,0.0007***,negative (-)
Hap22,5,51.786,-5.776,"[-11.60, 0.05]",-0.757,medium,0.1159,negative (-)
Hap11,16,51.816,-5.746,"[-9.06, -2.43]",-0.766,medium,0.0026***,negative (-)
Hap28,3,51.879,-5.682,"[-18.56, 7.20]",-0.733,medium,0.4764,negative (-)
Hap24,4,52.002,-5.560,"[-13.04, 1.92]",-0.725,medium,0.2347,negative (-)
Hap13,13,52.064,-5.498,"[-9.63, -1.37]",-0.721,medium,0.0194*,negative (-)
Hap10,13,52.461,-5.100,"[-8.27, -1.93]",-0.683,medium,0.0053***,negative (-)
Hap23,5,52.915,-4.647,"[-6.58, -2.72]",-0.616,medium,0.0002***,negative (-)
Hap17,7,53.134,-4.428,"[-7.71, -1.15]",-0.588,medium,0.0264*,negative (-)
Hap29,2,53.197,-4.365,"[-11.43, 2.70]",-0.570,medium,0.4268,negative (-)
Hap19,7,53.403,-4.159,"[-9.72, 1.40]",-0.544,medium,0.1870,negative (-)
Hap2,109,53.409,-4.153,"[-5.83, -2.47]",-0.648,medium,0.0000***,negative (-)
Hap12,14,53.416,-4.146,"[-6.80, -1.49]",-0.561,medium,0.0052***,negative (-)
Hap6,27,53.816,-3.746,"[-6.67, -0.82]",-0.499,small,0.0158*,negative (-)
Hap9,18,54.003,-3.559,"[-6.22, -0.90]",-0.483,small,0.0132*,negative (-)
Hap25,3,54.046,-3.516,"[-4.94, -2.09]",-0.462,small,0.0000***,negative (-)
Hap20,5,60.944,+3.382,"[0.87, 5.89]",0.448,small,0.0278*,positive (+)
Hap27,3,54.429,-3.132,"[-13.54, 7.28]",-0.407,small,0.6132,negative (-)
Hap7,18,60.421,+2.859,"[-0.93, 6.65]",0.373,small,0.1533,positive (+)
Hap32,2,55.011,-2.551,"[-5.27, 0.16]",-0.334,small,0.2139,negative (-)
Hap3,70,55.571,-1.991,"[-4.25, 0.27]",-0.262,small,0.0859,negative (-)
Hap34,2,56.212,-1.350,"[-5.16, 2.46]",-0.177,negligible,0.5870,negative (-)
Hap4,47,56.266,-1.295,"[-4.21, 1.61]",-0.161,negligible,0.3857,negative (-)
Hap5,28,57.081,-0.481,"[-3.67, 2.70]",-0.063,negligible,0.7688,negative (-)
Hap16,10,57.370,-0.192,"[-5.63, 5.25]",-0.025,negligible,0.9461,negative (-)
Hap1,112,57.562,REF,-,-,-,-,-
